AGNname,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,virialRadius,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),corrected_az (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift,AGNredshift,spectrumStatus,include,include_vir,include_custom,Lya_v,vlimits,Lya_W,Na,b,identified,comment
US143,NGC4921,,"('195.36708', '27.85194')","('195.35896', '27.88594')",,,49.27928694,x,5768.95,,81.25285146,,82.88,66.31,37,135,31.57055471,,,.SBT2..,,165,SB(rs)ab,SB(rs)ab,0.018286,0.243,PL,,,,,,,,,no,public 06/05/15
MRK290,KKR19,x,"('233.96792', '57.9025')","(230.49193, 57.31043)",1.29E-52,41.24838513,449.3825659,x,935.7,-177.7,13.17832798,x,3.5,2.3,48.2,x,x,x,0,x,x,x,Ir,Ir,0.002552,0.0296,SP,?,yes,no,758,"698, 810",134pm10,3.00E13 pm 2.56E12,39.4pm 2.1,done,center is 754
MRK290,NGC5987,x,"('233.96792', '57.9025')","(234.98904, 58.07953)",0.871277694,570.666866,486.0114481,x,3170,-65,48.9,x,68.8,29.6,64.5,60,48.1,48.1,NGC5987,.S..3..,71.6,165,Sb,Sb,0.01004,0.0296,SP,?,yes,yes,3105,"2966, 3170",511pm5,2.01E14 pm 3.76E12,57.0pm 2.6,done,center is 3068
MRK290,NGC5987,x,"('233.96792', '57.9025')","(234.98904, 58.07953)",0.935761605,570.666866,486.0114481,x,3170,37,48.9,x,68.8,29.6,64.5,60,48.1,48.1,NGC5987,.S..3..,71.6,165,Sb,Sb,0.01004,0.0296,SP,?,yes,yes,3207,"3166, 3308",319pm4,1.11E14 pm 2.43E12,39.8pm 3.1,done,center is 3237
MRK290,NGC5987,,"('233.96792', '57.9025')","('234.98904', '58.07953')",,,486.0114481,x,3170.02,,48.9,,68.85,29.6,65,60,200.1640214,,,.S..3..,,165,Sb,Sb,0.01004,0.0296,SP,?,no,no,4654,"4630, 4694",45pm14,933E12 pm 3.07E12,22.6pm 4.1,done,"only in HRS data, very faint, center is 4662"
SBS1537+577,NGC5987,,"('234.54167', '57.60361')","('234.98904', '58.07953')",,,454.1827315,x,3170.02,,48.9,,68.85,29.6,65,60,163.2274703,,,.S..3..,,165,Sb,Sb,0.01004,0.0734,SP,,,,,,,,,yes,"done, original result"
SBS1537+577,UGC05470,x,"('234.54167', '57.60361')","(152.11708, 12.30639)",0,0.353553391,319.2401718,x,534.3,219.7,0.242,x,0.5,0.4,40.5,80,57.6,57.6,LeoI,dE.3...,40.7,80,E;dSph,E;dSph,0.000951,0.0734,SP,?,yes,yes,754,"687, 809",146pm36,3.28E13 pm 9.49E12,44.9pm2.8,Lya,center is 748
SBS1537+577,NGC5987,x,"('234.54167', '57.60361')","(234.98904, 58.07953)",0.788751573,570.666866,454.1827315,x,3170,109,48.9,x,68.8,29.6,64.5,60,86.7,86.7,NGC5987,.S..3..,71.6,165,Sb,Sb,0.01004,0.0734,SP,yes,yes,yes,3279,"3174, 3380",358pm30,9.55E13 pm 1.07E13,64.4pm 2.7,Lya,center is 3277
SBS1537+577,SDSSJ153802.75+573018.3,5,"('234.54167', '57.60361')","(234.5115, 57.50508)",0.209360783,86.86757243,90.50600729,x,3687.3,-138.3,x,,10.4,1.6,81.3,24,139,30,x,x,x,x,Sd(f),Sd(f),0.011759,0.0734,SP,yes,yes,no,3549,"3456, 3670",447pm28,1.40E14 pm 1.38E13,53.2pm 3.6,Lya,center is 3563
SBS1537+577,NGC5987,x,"('234.54167', '57.60361')","(234.98904, 58.07953)",0.029266731,570.666866,454.1827315,x,3170,379,48.9,x,68.8,29.6,64.5,60,86.7,86.7,NGC5987,.S..3..,71.6,165,Sb,Sb,0.01004,0.0734,SP,no,no,yes,3549,"3456, 3670",447pm28,1.40E14 pm 1.38E13,53.2pm 3.6,Lya,center is 3563
