AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift,AGNredshift,spectrumStatus,include,include_vir,include_custom,Lya_v,vlimits,Lya_W,Na,b,identified,comment
TON488,1375,UGC05478,3,"('152.50292', '30.05583')","(152.38167, 30.15171)",1.343453629,0.090904319,92.03657223,37.48236919,58.03988156,x,1620.3,1378,3,23.4,x,11.2,11,11.5,x,x,UGC5478,.I..9..,12.2,-99,Im,Im,0.004597,0.2564,SP,?,TRUE,TRUE,1375,"1284, 1480",452pm12,1.75E14 pm 9.83E12,51.2pm 2.4,done,center is 1382
TON488,4101,x,0,"('152.50292', '30.05583')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.2564,SP,FALSE,FALSE,FALSE,4101,"4050, 4152",55pm10,1.10E13 pm 2.07E12,43.7pm 2.7,d:Lya,d:Lya marked at 4101 is extremely weak/questionable : NO GALAXIES : NO GALAXIES
TON488,4786,x,0,"('152.50292', '30.05583')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.2564,SP,FALSE,FALSE,FALSE,4786,"4746, 4836",44pm9,8.77E12 pm 1.82E12,31.1pm 3.1,done,center is 4791 : NO GALAXIES : NO GALAXIES
TON488,5737,SDSSJ100952.34+301916.5,1,"('152.50292', '30.05583')","(152.46808, 30.32125)",9.96E-12,1.71E-62,89.75577295,35.49242173,417.7809072,x,6362.4,6120,383,89.61072681,x,10.8,4.7,63.9,112,61.5,UGC5481,.S..1*.,72.4,91,x,x,0.020413,0.2564,SP,?,FALSE,FALSE,5737,"5702, 5758",34pm7,6.89E12 pm 1.45E12,16.0pm 3.5,done,center is 5730 : NO GALAXIES : ONLY 1 GALAXY
SBS1108+560,732,UGC06225,3,"('167.88375', '55.79028')","(167.87904, 55.67411)",1.915057498,1.92393711,228.3555832,270.2492035,29.04206628,x,910.4,699,-33,14.32,x,41.8,9.2,77.3,83,81.7,NGC3556,.SBS6./,75.1,80,SB(s)cd        HII,SB(s)cd        HII,0.002332,0.765,DG,?,TRUE,TRUE,732,"529, 885",1082pm82,2.07E14 pm 3.34E13,136.9pm 2.8,d:Lya,"d:Lya marked at 732, center is 707"
SBS1108+560,929,UGC06225,3,"('167.88375', '55.79028')","(167.87904, 55.67411)",0.524385933,0.526817371,228.3555832,270.2492035,29.04206628,x,910.4,699,-230,14.32,x,41.8,9.2,77.3,83,81.7,NGC3556,.SBS6./,75.1,80,SB(s)cd        HII,SB(s)cd        HII,0.002332,0.765,DG,?,TRUE,TRUE,929,"895, 1017",284pm51,5.69E13 pm 1.78E13,46.1pm 1.8,d:Lya,"d:Lya marked at 929, center is 956"
SBS1108+560,5417,x,0,"('167.88375', '55.79028')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.765,DG,FALSE,FALSE,FALSE,5417,"5408, 5490",150pm40,3.43E13 pm 1.31E13,29.8pm 2.3,d:Lya,"d:Lya marked at 5417, center is 5449 : NO GALAXIES : NO GALAXIES"
SDSSJ080908.13+461925.6,2281,UGC04260,2,"('122.28375', '46.32389')","(122.78651, 46.4654)",0.000239462,1.89E-35,75.46623913,24.34551293,217.6633981,x,2391,2254,-27,33.299999,x,8.4,3.5,65.2,110,42.2,UGC4260,.I..9*.,24.2,-99,Im:,Im:,0.007519,0.6563,SP,?,FALSE,FALSE,2281,"2228, 2336",85pm12,1.79e13 pm 2.85E12,33.1pm 2.7,d:Lya,"d:Lya marked at 2281, center is 2282 : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH"
SDSSJ080908.13+461925.6,3122,x,0,"('122.28375', '46.32389')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.6563,SP,FALSE,FALSE,FALSE,3122,"3040, 3174",207pm12,5.51E13 pm 3.92E12,37.1pm 2.2,d:Lya,"d:Lya marked at 3122, center is 3107. UGC04258 is at correct velocity, but b = 693 kpc : NO GALAXIES : NO GALAXIES"
SDSSJ080908.13+461925.6,3205,x,0,"('122.28375', '46.32389')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.6563,SP,FALSE,FALSE,FALSE,3205,"3174, 3272",72pm11,1.49E13 pm 2.57E12,38.3pm 2.0,d:Lya,"d:Lya marked at 3205, center is 3223. UGC04258 is at correct velocity, but b = 693 kpc : NO GALAXIES : NO GALAXIES"
