AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift,AGNredshift,spectrumStatus,include,include_vir,include_custom,Lya_v,vlimits,Lya_W,Na,b,identified,comment
1H0717+714,2870,UGC03804,1,"('110.472083333', '71.3433333333')","(110.64454, 71.59894)",0.235820666,0.137668761,172.7694299,147.3690571,207.1402904,x,2972.8,2887,17,45.4,x,27.9,16.7,53.1,5,7.2,UGC3804,.S..6*.,52.9,13,Scd:,Scd:,0.00963,0.5003,SP,?,TRUE,TRUE,2870,"2760, 2960",343pm6,9.25E13 pm 1.97E12,57.1pm 1.7,d:Lya,"blended with 2956, center is 2860; p : ONLY 1 GALAXY : ONLY 1 GALAXY : ONLY 1 GALAXY"
1H0717+714,2956,UGC03804,1,"('110.472083333', '71.3433333333')","(110.64454, 71.59894)",0.210876284,0.123106584,172.7694299,147.3690571,207.1402904,x,2972.8,2887,-69,45.4,x,27.9,16.7,53.1,5,7.2,UGC3804,.S..6*.,52.9,13,Scd:,Scd:,0.00963,0.5003,SP,?,TRUE,TRUE,2956,"2954, 3022",39pm4,7.94E12 pm 8.35E11,24.4pm 2.4,d:Lya,"d:Lya labeled at 2956, center is 2988, blended with 2870 - needs fitting; p : ONLY 1 GALAXY : ONLY 1 GALAXY : ONLY 1 GALAXY"
1H0717+714,3839,x,0,"('110.47208', '71.34333')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.5003,SP,FALSE,FALSE,FALSE,3839,"3785, 3905",45pm5,8.76E12 pm 1.04E12,41.2pm 2.5,d:Lya,"d:Lya labeled at 3839 - seems wrong, weak; p : NO GALAXIES : NO GALAXIES : NO GALAXIES"
1H0717+714,5292,x,0,"('110.47208', '71.34333')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.5003,SP,FALSE,FALSE,FALSE,5292,"5223, 5339",46pm5,8.88E12 pm 9.27E11,41.0pm 2.5,d:Lya,"center is 5281, no galaxy with b<2000kpc at this velocity : NO GALAXIES : NO GALAXIES : NO GALAXIES"
1H0717+714,6271,x,0,"('110.47208', '71.34333')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.5003,SP,FALSE,FALSE,FALSE,6271,"6219, 6335",150pm4,3.51E13 pm 1.18E12,35.6pm 2.1,d:Lya,"center is 6277, no galaxy with b<2000kpc at this velocity : NO GALAXIES : NO GALAXIES : NO GALAXIES"
1H0717+714,7795,x,0,"('110.47208', '71.34333')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.5003,SP,FALSE,FALSE,FALSE,7795,"7768, 7836",49pm3,1.00E13 pm 7.06E11,24.4pm 2.0,d:Lya,"center is 7802, no galaxy with b<2000kpc at this velocity : NO GALAXIES : NO GALAXIES : NO GALAXIES"
2dFGRS_S393Z082,1239,NGC1097,7,"('41.2533333333', '-30.1230555556')","(41.57937, -30.27489)",1.648114009,1.80189773,273.1866721,399.0239191,111.9450754,x,1029.8,1271,32,20.038,x,54.2,36.7,47.4,x,11.7,NGC1097,.SBS3..,47.5,130,(R'_1:)SB(r'l)bSy1,(R'_1:)SB(r'l)bSy1,0.00424,0.34,NP,?,TRUE,TRUE,1239,"1145, 1339",570pm21,2.16E14 pm 2.11E13,62.9pm 1.8,done,"center is 1242, original name = TGS393Z082"
2dFGRS_S393Z082,3012,x,0,"('41.25333', '-30.12306')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.34,NP,FALSE,FALSE,FALSE,3012,"2970, 3028",52pm13,1.13E13 pm 3.22E12,20.7pm 2.6,done,center is 2999 : NO GALAXIES : NO GALAXIES : NO GALAXIES
2dFGRS_S393Z082,4052,x,0,"('41.25333', '-30.12306')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.34,NP,FALSE,FALSE,FALSE,4052,"4003, 4055",36pm13,7.41E12 pm 2.81E12,18.7pm 2.7,done,center is 4029 : NO GALAXIES : NO GALAXIES : NO GALAXIES
3C273.0,1013,NGC4517,10,"('187.277916667', '2.05222222222')","(188.18996, 0.11503)",0.020265061,0.016505443,193.1759035,187.8498124,364.9047326,x,1420.4,1128,115,9.765,x,32.8,4.1,82.7,x,71.8,NGC4517,.SAS6*/,81.5,83,SA(s)cd: sp    HII,SA(s)cd: sp    HII,0.003764,0.1583,SP,?,FALSE,TRUE,1013,"910, 1116",376pm3,1.33E14 pm 1.07E12,44.5pm 2.3,Lya,"strong, I measure center at 1010, near NGC4536 - see Lya:1582; p : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH"
