AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift,AGNredshift,spectrumStatus,include,include_vir,include_custom,Lya_v,vlimits,Lya_W,W,Na,b,identified,comment
RX_J2139.7+0246,4083,UGC11785,1,"('324.934166667', '2.76805555556')","(324.8615, 2.82711)",1.506805142,1.531061983,202.821709,208.8401494,107.5396145,x,3860,4074,-9,65.85,x,35.2,6.3,79.6,60,69.1,UGC11785,.S..6?/,82.6,61,Sd,Sd,0.013589,0.26,SI,1,1,1,4083,"3977, 4123",490pm7,490,2.38E14 pm 1.28E13,50.1pm 3.1,Lya,center is 4050 : ONLY 1 GALAXY
RX_J2139.7+0246,4181,UGC11785,1,"('324.934166667', '2.76805555556')","(324.8615, 2.82711)",1.134045819,1.152301908,202.821709,208.8401494,107.5396145,x,3860,4074,-107,65.85,x,35.2,6.3,79.6,60,69.1,UGC11785,.S..6?/,82.6,61,Sd,Sd,0.013589,0.26,SI,1,1,1,4181,"4121, 4281",529pm7,529,2.65E14 pm 1.39E13,54.2pm 3.6,Lya,center is 4201 : ONLY 1 GALAXY
SDSSJ080838.80+051440.0,8740,UGC04239,2,"('122.161666667', '5.24444444444')","(121.99208, 5.20667)",0.156372323,0.866011773,278.7260738,416.8226385,378.3176864,x,8893.1,8763,23,125.2551175,x,55.8,40.2,43.9,115,37.6,0,x,x,x,S,S,0.02923,0.361,RT,1,1,1,8740,"8560, 8876",883pm24,883,3.38E14 pm 2.10E13,92.6pm 2.1,done,center is 8718
SDSSJ080838.80+051440.0,8927,UGC04239,4,"('122.161666667', '5.24444444444')","(121.99208, 5.20667)",0.080887949,0.447968763,278.7260738,416.8226385,378.3176864,x,8893.1,8763,-164,125.2551175,x,55.8,40.2,43.9,115,37.6,0,x,x,x,S,S,0.02923,0.361,RT,1,0,1,8927,"8870, 8974",130pm19,130,3.37E13 pm 5.54E12,25.6pm 4.4,done,center is 8922 : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH
1H0717+714,2870,UGC03804,1,"('110.472083333', '71.3433333333')","(110.64454, 71.59894)",0.235820666,0.137668761,172.7694299,147.3690571,207.1402904,x,2972.8,2887,17,45.4,x,27.9,16.7,53.1,5,7.2,UGC3804,.S..6*.,52.9,13,Scd:,Scd:,0.00963,0.5003,SP,1,1,1,2870,"2760, 2960",343pm6,343,9.25E13 pm 1.97E12,57.1pm 1.7,d:Lya,"blended with 2956, center is 2860; p : ONLY 1 GALAXY : ONLY 1 GALAXY : ONLY 1 GALAXY"
1H0717+714,2956,UGC03804,1,"('110.472083333', '71.3433333333')","(110.64454, 71.59894)",0.210876284,0.123106584,172.7694299,147.3690571,207.1402904,x,2972.8,2887,-69,45.4,x,27.9,16.7,53.1,5,7.2,UGC3804,.S..6*.,52.9,13,Scd:,Scd:,0.00963,0.5003,SP,1,1,1,2956,"2954, 3022",39pm4,39,7.94E12 pm 8.35E11,24.4pm 2.4,d:Lya,"d:Lya labeled at 2956, center is 2988, blended with 2870 - needs fitting; p : ONLY 1 GALAXY : ONLY 1 GALAXY : ONLY 1 GALAXY"
RX_J0714.5+7408,4074,UGC03717,1,"('108.650833333', '74.1363888889')","(108.31017, 73.84314)",0.119300158,0.12905543,201.6273975,206.1760146,270.602644,x,4268.8,4188,114,50.35,x,34.9,16.8,61.3,115,82.6,UGC3717,.S..4..,68.7,103,Sbc,Sbc,0.01397,0.371,SP,1,1,1,4074,"4030, 4114",58pm7,58,1.18E13 pm 1.65E12,29.0pm 2.0,done,center is 4072 : ONLY 1 GALAXY : ONLY 1 GALAXY : ONLY 1 GALAXY
RX_J0714.5+7408,4264,UGC03717,1,"('108.650833333', '74.1363888889')","(108.31017, 73.84314)",0.142899653,0.154584674,201.6273975,206.1760146,270.602644,x,4268.8,4188,-76,50.35,x,34.9,16.8,61.3,115,82.6,UGC3717,.S..4..,68.7,103,Sbc,Sbc,0.01397,0.371,SP,1,1,1,4264,"4164, 4354",410pm9,410,1.70E14 pm 7.19E12,43.8pm 2.6,done,"very likely Lya, but not yet fully identified, center is 4259 : ONLY 1 GALAXY : ONLY 1 GALAXY : ONLY 1 GALAXY"
SDSSJ021218.32-073719.8,4756,SDSSJ021315.79-073942.7,5,"('33.07625', '-7.62222222222')","(33.31582, -7.66188)",0.08973205,0.039895449,174.4747724,150.5496164,268.1767084,x,4531.8,4800,44,63.82800065,x,28.3,18.1,50.2,109,9.5,MCG-1-6-70,PSBT1..,40.7,-99,x,x,0.016011,0.1739,SP,1,1,1,4756,"4624, 4804",528pm15,528,2.24E14 pm 1.62E13,56.7pm 2.9,f:Lya,center is 4714
SDSSJ021218.32-073719.8,4833,SDSSJ021315.79-073942.7,5,"('33.07625', '-7.62222222222')","(33.31582, -7.66188)",0.091652386,0.040749242,174.4747724,150.5496164,268.1767084,x,4531.8,4800,-33,63.82800065,x,28.3,18.1,50.2,109,9.5,MCG-1-6-70,PSBT1..,40.7,-99,x,x,0.016011,0.1739,SP,1,0,1,4833,"4804, 4994",500pm17,500,2.03E14 pm 1.53E13,58.3pm 2.9,f:Lya,center is 4899 : VIRIAL AND CUSTOM INCLUDE MISMATCH
