Target,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift,AGNredshift,spectrumStatus,include,include_vir,include_custom,Lya_v,vlimits,Lya_W,Na,b,identified,source,comment
HE0439-5254,613,UGC05470,4,"('70.05', '-52.805')","('152.11708', '12.30639')",0,0,14.89814137,0.715541753,414.7945703,x,534,285,-328,0.25,x,0.8,0.6,41,80,44.3,586.34,dE.3...,0.83,80,E;dSph,E;dSph,0.000951,1.053,x,0,FALSE,FALSE,613,"506, 676",154,3.27E+13,61.3,Lya,salt,hard to fit cont : VIRIAL AND CUSTOM INCLUDE MISMATCH
RBS567,613,NGC1566GROUP:[KKF2005]18,5,"('69.91125', '-53.191944444444445')","('67.851', '-54.41683')",2.78E-17,1.14E-141,76.70151309,25.22015067,451.9471558,x,845,982,369,15,x,8.6,1.8,78,115,69.8,143.93,.L..0P/,0.21,101,S0^0^_pec_sp,S0^0^_pec_sp,0.003276,0.243,x,0,FALSE,FALSE,613,"559, 675",87,1.82E+13,39.4,Lya,salt,hard to fit continuum : VIRIAL AND CUSTOM INCLUDE MISMATCH
RX_J1017.5+4702,629,NGC3198,8,"('154.37916666666666', '47.040277777777774')","('154.97897', '45.54962')",0.020893404,0.013294733,188.6821824,178.4797271,369.9468582,x,882,660,31,13.7,x,31.7,11.1,70,40,55.3,510.68,.SBT5..,-99.99,35,SB(rs)c_HII,SB(rs)c_HII,0.002202,,x,1,TRUE,TRUE,629,"584, 662",60pm17,1.24E13 pm 3.81E12,27.9pm 2.9,Lya,pilot,center is 623
PG1001+054,640,UGC05373,8,"('151.08375', '5.216666666666667')","('150.00042', '5.33222')",0.052953225,8.83E-28,30.87395074,3.488122704,26.88815325,x,540,301,-339,1.42,x,2.3,1.5,48,110,13.9,307.72,.IBS9..,0.65,110,ImIV-V,ImIV-V,0.001004,,x,1,TRUE,FALSE,640,"611, 669",38pm15,7.85E12 pm 3.33E12,20.2pm 3.7,Lya,pilot,"center is 640, very weak : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH"
RX_J1117.6+5301,685,NGC3556,9,"('169.41875000000002', '53.030833333333334')","('167.87904', '55.67411')",0.001064363,1.64E-05,161.4927982,127.2567366,422.3732629,x,910,699,14,8.67,x,25.3,6.3,76,83,77.7,522.58,.SBS6./,-99.99,80,SB(s)cd_HII,SB(s)cd_HII,0.002332,,x,0,FALSE,FALSE,685,"593, 765",318pm26,9.54E13 pm 1.14E13,47.5pm 3.1,Lya,pilot,center is 679 : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH
SBS1503+570,706,NGC5907,16,"('226.23166666666665', '56.82222222222222')","('228.97404', '56.32877')",0.07779033,0.25766593,260.5336697,359.9364055,413.2324479,x,843,667,-39,14.9,x,50.6,8.1,81,155,46.8,755.36,.SAS5*/,-99.99,155,SA(s)c:_sp_HII:,SA(s)c:_sp_HII:,0.002225,0.3589,x,3,FALSE,TRUE,706,"631, 757",302pm24,9.17E13 pm 1.24E13,42.1pm 1.7,Lya,pilot,"Lya marked 705, center is 694 ; ambiguous = other nearby large galaxies: NGC5866, KUG1513+566, NGC5879 : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH"
SBS1537+577,754,UMaDwarf,1,"('234.54166666666666', '57.603611111111114')","('158.72', '51.92')",-99.99,-99.99,-99.99,-99.99,72.93932335,x,1313,1101,347,0.1,x,-99.99,-99.99,-99,-99,0.6,-99.99,x,-99.99,-99,dSph,dSph,0.003673,0.0734,x,0,FALSE,FALSE,754,"687, 809",146pm36,3.28E13 pm 9.49E12,44.9pm2.8,Lya,pilot,center is 748 : ONLY 1 GALAXY : ONLY 1 GALAXY : ONLY 1 GALAXY : ONLY 1 GALAXY
MRK290,758,SBS1511+583,3,"('233.96791666666667', '57.9025')","('228.1827', '58.17656')",0,0,5.72414593,0.089442719,486.0175196,x,644,471,-287,9.06,x,0.2,0,78,76,19.1,-99.99,x,-99.99,-99,x,x,0.001572,0.0296,x,0,FALSE,FALSE,758,"698, 810",134pm10,3.00E13 pm 2.56E12,39.4pm 2.1,done,pilot,center is 754 : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH
RX_J1236.0+2641,795,NGC4559,18,"('189.01666666666665', '26.693333333333335')","('188.99019', '27.95999')",0.303410192,0.095085314,148.0233932,105.3070131,161.4113231,x,1097,807,12,7.3,x,22.3,10.5,62,148,30.9,642.91,.SXT6..,-99.99,150,SAB(rs)cd_HII,SAB(rs)cd_HII,0.002692,,x,1,TRUE,TRUE,795,"715, 873",295pm37,8.27E13 pm 1.45E13,47.1pm 3.1,Lya,pilot,center is 794
PG0003+158,833,NGC7814,14,"('1.4966666666666666', '16.163611111111113')","('0.81204', '16.14542')",0.111192184,0.108184222,195.6073016,193.0277286,197.4830029,x,789,1050,217,17.2,x,33.4,16.7,60,135,46.6,329.72,.SAS2*/,-99.99,135,SA(s)ab:_sp_LINER,SA(s)ab:_sp_LINER,0.003502,0.4509,x,2,FALSE,TRUE,833,"810, 896",131pm15,3.10E13 pm 4.45E12,30.0pm 2.0,d:Lya,pilot,"weak, crowded field, center is 853; p : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH"
