AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift,AGNredshift,spectrumStatus,include,include_vir,include_custom,Lya_v,vlimits,Lya_W,Na,b,identified,comment
MRK290,758,UGC05470,3,"('233.96792', '57.9025')","(152.11708, 12.30639)",0,0,10.77182534,0.353553391,317.9462593,x,534.3,-223.7,0.242,x,0.5,0.4,40.5,80,38.2,LeoI,dE.3...,40.7,80,E;dSph,E;dSph,0.000951,0.0296,SP,FALSE,FALSE,FALSE,758,"698, 810",134pm10,3.00E13 pm 2.56E12,39.4pm 2.1,done,center is 754 : VIRIAL AND CUSTOM INCLUDE MISMATCH
MRK290,3105,NGC5987,2,"('233.96792', '57.9025')","(234.98904, 58.07953)",0.09227992,0.871277694,322.0594318,570.666866,486.0114481,x,3170,65,48.9,x,68.8,29.6,64.5,60,11.9,NGC5987,.S..3..,71.6,165,Sb,Sb,0.01004,0.0296,SP,TRUE,TRUE,TRUE,3105,"2966, 3170",511pm5,2.01E14 pm 3.76E12,57.0pm 2.6,done,center is 3068
MRK290,3207,NGC5987,2,"('233.96792', '57.9025')","(234.98904, 58.07953)",0.099109626,0.935761605,322.0594318,570.666866,486.0114481,x,3170,-37,48.9,x,68.8,29.6,64.5,60,11.9,NGC5987,.S..3..,71.6,165,Sb,Sb,0.01004,0.0296,SP,TRUE,TRUE,TRUE,3207,"3166, 3308",319pm4,1.11E14 pm 2.43E12,39.8pm 3.1,done,center is 3237
MRK290,4654,x,0,"('233.96792', '57.9025')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.0296,SP,FALSE,FALSE,FALSE,4654,"4630, 4694",45pm14,933E12 pm 3.07E12,22.6pm 4.1,done,"only in HRS data, very faint, center is 4662 : NO GALAXIES"
SBS1537+577,754,UGC05470,1,"('234.54167', '57.60361')","(152.11708, 12.30639)",0,0,10.77182534,0.353553391,319.2401718,x,534.3,-219.7,0.242,x,0.5,0.4,40.5,80,37.6,LeoI,dE.3...,40.7,80,E;dSph,E;dSph,0.000951,0.0734,SP,TRUE,TRUE,TRUE,754,"687, 809",146pm36,3.28E13 pm 9.49E12,44.9pm2.8,Lya,center is 748 : ONLY 1 GALAXY
SBS1537+577,3279,NGC5987,3,"('234.54167', '57.60361')","(234.98904, 58.07953)",0.101691027,0.788751573,322.0594318,570.666866,454.1827315,x,3170,-109,48.9,x,68.8,29.6,64.5,60,33.3,NGC5987,.S..3..,71.6,165,Sb,Sb,0.01004,0.0734,SP,TRUE,TRUE,TRUE,3279,"3174, 3380",358pm30,9.55E13 pm 1.07E13,64.4pm 2.7,Lya,center is 3277
SBS1537+577,3549,SDSSJ153802.75+573018.3,5,"('234.54167', '57.60361')","(234.5115, 57.50508)",0.209360783,0.000344159,86.86757243,33.05642146,90.50600729,x,3687.3,138.3,51.93368351,x,10.3,1.9,79.6,24,14.7,0,x,x,x,Sd(f),Sd(f),0.011759,0.0734,SP,,TRUE,FALSE,3549,"3456, 3670",447pm28,1.40E14 pm 1.38E13,53.2pm 3.6,Lya,center is 3563 : VIRIAL VS CUSTOM RESULT MISMATCH
SBS1537+577,3549,NGC5987,5,"('234.54167', '57.60361')","(234.98904, 58.07953)",0.003773259,0.029266731,322.0594318,570.666866,454.1827315,x,3170,-379,48.9,x,68.8,29.6,64.5,60,33.3,NGC5987,.S..3..,71.6,165,Sb,Sb,0.01004,0.0734,SP,?,FALSE,TRUE,3549,"3456, 3670",447pm28,1.40E14 pm 1.38E13,53.2pm 3.6,Lya,center is 3563 : VIRIAL VS CUSTOM RESULT MISMATCH
SBS1537+577,4077,SDSSJ153802.75+573018.3,2,"('234.54167', '57.60361')","(234.5115, 57.50508)",0.007580499,1.25E-05,86.86757243,33.05642146,90.50600729,x,3687.3,-389.7,51.93368351,x,10.3,1.9,79.6,24,14.7,0,x,x,x,Sd(f),Sd(f),0.011759,0.0734,SP,TRUE,TRUE,FALSE,4077,"4032, 4148",72pm25,1.47E13 pm 5.48E12,45.0pm 3.8,Lya,center is 4090 : VIRIAL AND CUSTOM INCLUDE MISMATCH
SBS1537+577,8466,x,0,"('234.54167', '57.60361')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.0734,SP,FALSE,FALSE,FALSE,8466,"8413, 8501",48pm21,9.79E12 pm 4.38E12,31.1pm 7.9,Lya,center is 8457 : NO GALAXIES
SBS1537+577,9008,x,0,"('234.54167', '57.60361')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.0734,SP,FALSE,FALSE,FALSE,9008,"8983, 9033",54pm14,1.23E13 pm 3.69E12,,no,"Not marked, but I see Lya here : NO GALAXIES"
SBS1537+577,9190,x,0,"('234.54167', '57.60361')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.0734,SP,FALSE,FALSE,FALSE,9190,"9160, 9224",67pm16,1.47E13 pm 4.07E12,22.4pm 1.9,Lya,center is 9192 : NO GALAXIES
SBS1537+577,9824,x,0,"('234.54167', '57.60361')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.0734,SP,FALSE,FALSE,FALSE,9824,"9795, 9845",40pm15,8.29E12 pm 3.39E12,18.6pm 2.9,Lya,center is 9820 : NO GALAXIES
3C66A,4303,x,0,"('35.665', '43.03556')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.444,SP,FALSE,FALSE,FALSE,4303,"4282, 4324",24pm4,4.93E12 pm 9.03E11,15.6pm 2.1,d:X,"weak, labeled d:X?, center is 4303 : NO GALAXIES"
3C66A,5965,UGC01832,3,"('35.665', '43.03556')","(35.62966, 43.0653)",0.721998913,0.717523103,191.9550398,185.2785066,55.88383776,x,5771.7,-193.3,81.29213857,x,32.5,13.6,65.2,155,16,UGC1832,.S..1..,64.1,163,Sa,Sa,0.019724,0.444,SP,FALSE,FALSE,FALSE,5965,"5940, 6026",53pm6,1.11E13 pm 1.27E12,26.3pm 2.6,d:Lya,"weak, blended with Mgll, center is 5983, near UGC01841; p : VIRIAL AND CUSTOM INCLUDE MISMATCH"
3C66A,6076,UGC01841,5,"('35.665', '43.03556')","(35.79755, 42.99205)",0.874699255,1.027755263,346.8309544,670.4141228,162.7451694,x,6231.8,155.8,87.77125098,x,76.6,76.6,0,x,x,UGC1841,.E.....,0,-99,E              LERG,E              LERG,0.021258,0.444,SP,FALSE,FALSE,TRUE,6076,"6044, 6122",27pm6,5.20E12 pm 1.13E12,26.7pm 3.3,d:Lya,"weak, blended with Mgll, center is 6083, near UGC01841; p : VIRIAL AND CUSTOM INCLUDE MISMATCH"
3C66A,8180,x,0,"('35.665', '43.03556')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.444,SP,FALSE,FALSE,FALSE,8180,"8138, 8258",118pm6,2.76E13 pm 1.53E12,30.3pm 2.9,d:Lya,"center is 8198, no galaxies within 1000 kpc : NO GALAXIES"
MRC2251-178,2258,MCG-03-58-014,1,"('343.52458', '-17.58194')","(344.36012, -17.88558)",5.15E-20,1.34E-264,63.89771317,16.955707,417.3445625,x,1993.2,-264.8,28.07265578,x,6.6,3.7,55.9,105,5.9,0,x,x,x,Sa,Sa,0.007575,0.0661,SP,TRUE,TRUE,TRUE,2258,"2202, 2330",80pm5,1.62E13 pm 1.18E12,42.1pm 2.0,"Lya, d:Lya","Lya labeled at 2258, d:Lya at 2283, center is 2266 : ONLY 1 GALAXY"
MRC2251-178,3042,HIPASSJ2254-18,3,"('343.52458', '-17.58194')","(343.6474, -18.00054)",0.000955218,4.18E-10,121.7484398,68.85950915,319.5117248,x,2990.5,-51.5,42.12023615,x,16.8,10.1,53.1,40,55.6,ESO603-G27,.IBS9..,52.9,40,IB(s)m,IB(s)m,0.010898,0.0661,SP,FALSE,FALSE,FALSE,3042,"3002, 3116",67pm5,1.33E13 pm 1.01E12,43.2pm 2.7,"Lya, d:Lya","Lya labeled at 3042, d:Lya at 3055, center is 3059 : VIRIAL AND CUSTOM INCLUDE MISMATCH"
MRC2251-178,3203,HIPASSJ2254-18,3,"('343.52458', '-17.58194')","(343.6474, -18.00054)",0.000330081,1.44E-10,121.7484398,68.85950915,319.5117248,x,2990.5,-212.5,42.12023615,x,16.8,10.1,53.1,40,55.6,ESO603-G27,.IBS9..,52.9,40,IB(s)m,IB(s)m,0.010898,0.0661,SP,FALSE,FALSE,FALSE,3203,"3120, 3326",332pm5,9.28E13 pm 1.83E12,52.7pm 2.4,"Lya, d:Lya","Lya labeled at 3203, d:Lya at 3218, center is 3223 : VIRIAL AND CUSTOM INCLUDE MISMATCH"
MRC2251-178,4373,x,0,"('343.52458', '-17.58194')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,29,x,x,x,x,x,x,x,x,x,x,x,x,0.0661,SP,FALSE,FALSE,FALSE,4373,"4308, 4376",22pm3,4.36E12 pm 6.54E11,22.4pm 3.0,Lya,"Lya labeled at 4323, d:INSTR labeled at 4362.5, center is 4342 : NO GALAXIES"
MRC2251-178,4710,x,0,"('343.52458', '-17.58194')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,29,x,x,x,x,x,x,x,x,x,x,x,x,0.0661,SP,FALSE,FALSE,FALSE,4710,"4667, 4719",23pm3,4.51E12 pm 6.80E11,16.2pm 3.9,d:Lya,"d:Lya labeled at 4710, center is 4693 : NO GALAXIES"
MRC2251-178,9051,MCG-03-58-009,1,"('343.52458', '-17.58194')","(343.42021, -17.47889)",0.040200656,0.158458796,319.1465428,559.5058883,320.0509932,x,8753.8,-297.2,128,x,67.9,35.3,58.7,175,39,ESO603-G25,.S?....,48.6,27,Sc,Sc,0.030121,0.0661,SP,TRUE,TRUE,TRUE,9051,"8958, 9098",60pm4,1.18E13 pm 8.73E11,46.4pm 2.7,"Lya, d:Lya","Lya labeled at 9051, d:Lya at 9040, center is 9028 : ONLY 1 GALAXY"
MRC2251-178,9733,x,0,"('343.52458', '-17.58194')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.0661,SP,FALSE,FALSE,FALSE,9733,"9650, 9810",195pm4,4.63E13 pm 9.91E11,44.2pm 1.9,"Lya, d:Lya","Lya labeled at 9733, d:Lya at 9745, center is 9730 : NO GALAXIES"
SBS1503+570,706,NGC5907,15,"('226.23150', '56.82230')","(228.97404, 56.32877)",0.05947114,0.497060632,294.7210858,470.5795629,452.0909184,x,843,137,16.3,x,60.5,6.6,83.7,x,46.8,NGC5907,.SAS5*/,83.7,155,SA(s)c: sp     HII:,SA(s)c: sp     HII:,0.002225,0.3589,SP,TRUE,TRUE,TRUE,706,"631, 757",302pm24,9.17E13 pm 1.24E13,42.1pm 1.7,Lya,"Lya marked 705, center is 694 ; ambiguous = other nearby large galaxies: NGC5866, KUG1513+566, NGC5879"
