targetName,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
PG1211+143,2116,IC3061,15,"('183.57375000000002', '14.053611111111111')","('183.7685', '14.02897')",0.31957921573596476,0.07590582044781001,150.76012289963455,109.58553280428944,137.67109332634521,x,2616.0,2316.0,200.0,41.4,x,22.9,5.9,75.0,120.0,22.6,134.32,.SB.5?/,-99.99,122.0,SBc?_sp;LINER_HII,SBc?_sp;LINER_HII,0.007725
PG1211+143,2116,NGC4189,15,"('183.57375000000002', '14.053611111111111')","('183.44696', '13.42481')",0.037893457028715216,0.038774933821512786,198.4268881211604,199.12765001375377,358.9800614792189,x,2415.0,2115.0,-1.0,32.1,x,34.1,19.8,55.0,95.0,83.9,143.93,.SXT6$.,-99.99,85.0,SAB(rs)cd?_HII,SAB(rs)cd?_HII,0.007055
PG1211+143,2116,NGC4254,15,"('183.57375000000002', '14.053611111111111')","('184.70668', '14.41651')",0.007706480685321175,0.003129556181266987,175.324639025328,152.14836509144618,290.6726355949106,x,2707.0,2407.0,291.0,14.4,x,28.5,27.1,18.0,24.0,47.7,322.22,.SAS5..,-99.99,-99,SA(s)c;LINER_HII,SA(s)c;LINER_HII,0.008029
PG1211+143,2116,IC3049,15,"('183.57375000000002', '14.053611111111111')","('183.39042', '14.48028')",1.5913322746214707e-05,3.283685213929041e-17,107.35650006992226,52.38320341483518,311.29180972445806,x,2740.0,2441.0,325.0,38.59,x,14.0,10.2,43.0,-99,76.4,49.91,.I?....,-99.99,-99,ImIII-IV,ImIII-IV,0.008142
PG1211+143,2116,SDSSJ121345.13+132526.5,15,"('183.57375000000002', '14.053611111111111')","('183.43808', '13.42403')",2.000034852919087e-06,6.081326499035234e-22,112.07236203296159,57.514772015543976,400.558693665423,x,2534.0,2234.0,118.0,35.68,x,14.9,14.7,8.0,121.0,70.8,-99.99,x,-99.99,-99,x,x,0.007451
PG1211+143,2116,SDSSJ121348.84+132548.1,15,"('183.57375000000002', '14.053611111111111')","('183.45354', '13.43006')",1.2090938772272057e-06,4.263932052656591e-29,101.46281332368314,46.332375289855364,374.46155900565327,x,2402.0,2102.0,-14.0,33.82,x,12.9,12.5,14.0,44.0,33.4,-99.99,x,-99.99,-99,x,x,0.00701
PG1211+143,2116,NGC4192A,15,"('183.57375000000002', '14.053611111111111')","('183.35954', '14.77203')",1.2743030136069567e-07,9.30565145198888e-26,114.13979475351596,59.84627807976032,454.17988857798025,x,2374.0,2075.0,-41.0,34.8,x,15.3,12.1,38.0,82.0,81.9,80.94,.SA.8..,-99.99,-99,SAdm,SAdm,0.006921
PG1211+143,2116,IC3019,15,"('183.57375000000002', '14.053611111111111')","('182.34275', '13.99243')",6.23388015330144e-11,1.1089778086094955e-72,80.35512867333026,27.904981634109703,354.82441989177255,x,2015.0,1716.0,-400.0,17.0,x,9.2,9.2,0.0,144.0,56.9,84.75,.E.....,-99.99,-99,E,E,0.005723
PG1211+143,2116,SDSSJ121153.85+134830.2,15,"('183.57375000000002', '14.053611111111111')","('182.97438', '13.8084')",2.6673662247258025e-20,0.0,53.483943519540084,11.517421586448938,357.8774694290246,x,2306.0,2007.0,-109.0,32.48,x,5.1,2.3,63.0,133.0,65.9,-99.99,x,-99.99,-99,x,x,0.006695
PG1211+143,2116,SDSSJ121419.86+132706.4,15,"('183.57375000000002', '14.053611111111111')","('183.58277', '13.45179')",6.141737517776607e-29,0.0,52.027780007432355,10.846612374377543,409.26995973550146,x,2767.0,2467.0,351.0,38.96,x,4.9,3.2,49.0,67.0,67.8,-99.99,x,-99.99,-99,x,x,0.008229
PG1211+143,2116,SDSSJ121309.41+133503.8,15,"('183.57375000000002', '14.053611111111111')","('183.28924', '13.58442')",1.8502889856596276e-29,0.0,39.60724351420745,5.994747701113033,322.15575000437076,x,2407.0,2108.0,-8.0,33.9,x,3.3,1.5,63.0,57.0,26.5,-99.99,x,-99.99,-99,x,x,0.007032
PG1211+143,2116,SDSSJ121313.68+133122.0,15,"('183.57375000000002', '14.053611111111111')","('183.30704', '13.52278')",3.0707122669037225e-33,0.0,41.24838512685209,6.547900426854397,356.79089799051235,x,2457.0,2158.0,42.0,34.61,x,3.5,2.4,47.0,61.0,35.0,-99.99,x,-99.99,-99,x,x,0.007199
PG1211+143,2116,PGC039942,15,"('183.57375000000002', '14.053611111111111')","('185.36292', '15.02')",1.3997158428432498e-44,0.0,32.702323169085005,3.952847075210474,326.0652444351523,x,2166.0,1866.0,-250.0,9.42,x,2.5,1.4,57.0,-99,20.1,53.48,.I?....,-99.99,-99,I?,I?,0.006224
PG1211+143,2116,[YWP2010]J183.770+14.028,15,"('183.57375000000002', '14.053611111111111')","('183.77', '14.028')",-99.99,-99.99,-99.99,-99.99,123.55036505977583,x,2617.0,2317.0,201.0,36.85,x,-99.99,-99.99,-99,-99,16.7,-99.99,x,-99.99,-99,x,x,0.007729
PG1211+143,2116,VCCA048,15,"('183.57375000000002', '14.053611111111111')","('183.29208', '13.57556')",-99.99,-99.99,-99.99,-99.99,324.8143813306014,x,2399.0,2100.0,-16.0,33.79,x,-99.99,-99.99,-99,-99,51.2,-99.99,x,-99.99,-99,x,x,0.007005
