targetName,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
RX_J1236.0+2641,6404,SDSSJ123604.66+263545.0,12,"('189.01666666666665', '26.693333333333335')","('189.01947', '26.59584')",0.06443159606652764,0.00011670424822188253,116.70068090480368,62.80375784935166,187.2328188715767,x,6777.0,6486.0,82.0,110.0,x,15.8,10.1,50.0,155.0,23.5,-99.99,x,-99.99,-99,x,x,0.021635
RX_J1236.0+2641,6404,NGC4555,12,"('189.01666666666665', '26.693333333333335')","('188.92157', '26.52312')",0.028902175240851813,0.14819493090883645,288.98170892622977,450.8852093382527,365.28630226454374,x,6974.0,6683.0,279.0,110.0,x,58.8,44.7,41.0,120.0,86.5,114.33,.E.....,-99.99,125.0,E,E,0.022292
RX_J1236.0+2641,6404,SDSSJ123540.50+263834.5,12,"('189.01666666666665', '26.693333333333335')","('188.91878', '26.64295')",0.005656073737086028,0.0020729305991907246,158.84037282285206,122.75676356111707,193.79992186311182,x,6311.0,6020.0,-384.0,110.0,x,24.7,21.8,28.0,155.0,85.1,-99.99,x,-99.99,-99,x,x,0.020081
RX_J1236.0+2641,6404,SDSSJ123535.89+263400.0,12,"('189.01666666666665', '26.693333333333335')","('188.89959', '26.56669')",0.00037894345512086577,1.956298396136812e-05,156.61472870932874,119.0482591220888,315.418274942296,x,7086.0,6795.0,391.0,110.0,x,24.2,21.3,28.0,65.0,25.4,-99.99,x,-99.99,-99,x,x,0.022666
RX_J1236.0+2641,6404,IC3536,12,"('189.01666666666665', '26.693333333333335')","('188.80204', '26.53342')",0.0003384772580100629,8.332109137958156e-08,145.2637383013641,101.08567158603636,405.7470961049817,x,6608.0,6317.0,-87.0,93.07,x,21.7,5.4,76.0,160.0,70.2,-99.99,x,-99.99,-99,Spiral,Spiral,0.021072
RX_J1236.0+2641,6404,SDSSJ123543.98+263436.4,12,"('189.01666666666665', '26.693333333333335')","('188.9333', '26.5768')",0.00020145188012443273,9.729322551084891e-12,106.29591375318148,51.264724713978524,240.18960674230786,x,7064.0,6773.0,369.0,99.49,x,13.8,11.8,31.0,90.0,57.4,-99.99,x,-99.99,-99,x,x,0.022593
RX_J1236.0+2641,6404,SDSSJ123541.33+262856.7,12,"('189.01666666666665', '26.693333333333335')","('188.92225', '26.48243')",9.613210781455013e-06,2.397494021949242e-09,148.4810850792956,106.01614971314511,436.14716462478196,x,7037.0,6746.0,342.0,110.0,x,22.4,16.6,42.0,109.0,87.2,-99.99,x,-99.99,-99,x,x,0.022501
RX_J1236.0+2641,6404,SDSSJ123522.72+263436.2,12,"('189.01666666666665', '26.693333333333335')","('188.84469', '26.57674')",1.6921034274113747e-10,2.1482072647661277e-100,71.70431245139727,21.784214468279547,328.964612538716,x,6936.0,6645.0,241.0,97.69,x,7.8,7.8,0.0,90.0,37.2,-99.99,x,-99.99,-99,x,x,0.022165
RX_J1236.0+2641,6404,SDSSJ123612.42+262800.6,12,"('189.01666666666665', '26.693333333333335')","('189.05175', '26.46685')",1.0669076201127032e-15,5.725482288155311e-190,66.54533988759152,18.520259177452136,386.2542096172065,x,6872.0,6581.0,177.0,96.79,x,7.0,6.2,27.0,19.0,26.9,-99.99,x,-99.99,-99,x,x,0.021952
RX_J1236.0+2641,6404,SDSSJ123531.91+262703.9,12,"('189.01666666666665', '26.693333333333335')","('188.88297', '26.45109')",7.933205413225406e-16,2.69855468844359e-147,74.22181292925816,23.481226543773214,430.6643823019044,x,6486.0,6194.0,-210.0,91.34,x,8.2,6.6,37.0,10.0,16.2,-99.99,x,-99.99,-99,x,x,0.020662
RX_J1236.0+2641,6404,SDSSJ123555.72+262519.4,12,"('189.01666666666665', '26.693333333333335')","('188.98219', '26.42209')",3.958643655641786e-20,2.054813422292291e-250,66.54533988759152,18.520259177452136,444.0114093990014,x,6617.0,6325.0,-79.0,93.19,x,7.0,4.9,46.0,5.0,1.5,-99.99,x,-99.99,-99,x,x,0.021099
RX_J1236.0+2641,6404,SDSSJ123513.30+262945.6,12,"('189.01666666666665', '26.693333333333335')","('188.80542', '26.496')",-99.99,-99.99,-99.99,-99.99,435.48439791232636,x,6485.0,6194.0,-210.0,91.34,x,-99.99,-99.99,-99,-99,37.3,-99.99,x,-99.99,-99,x,x,0.020661
