targetName,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
1H0419-577,1123,NGC1574,16,"('66.50291666666666', '-57.20055555555555')","('65.49508', '-56.97475')",0.2093865133598024,0.1118372581183907,168.90441325282507,140.29611541307906,199.52704780119473,x,902.0,1041.0,-82.0,19.3,x,27.0,24.6,24.0,45.0,67.5,203.31,.LAS-*.,0.79,35.0,SA0^-,SA0^-,0.003472
1H0419-577,1123,NGC1553,16,"('66.50291666666666', '-57.20055555555555')","('64.04363', '-55.78014')",6.711797310247227e-05,2.454337926040775e-08,153.023785599399,113.19409878611162,473.2081797979517,x,936.0,1080.0,-43.0,13.8,x,23.4,16.8,44.0,150.0,13.2,268.01,.LAR0..,0.79,150.0,SA(rl)0^0_LINER,SA(rl)0^0_LINER,0.003602
1H0419-577,1123,NGC1566,16,"('66.50291666666666', '-57.20055555555555')","('65.00175', '-54.93781')",2.522595489636016e-05,2.698811246186876e-13,114.13979475351596,59.84627807976032,301.09143559414946,x,1361.0,1504.0,381.0,7.15,x,15.3,10.5,46.0,170.0,9.8,499.06,.SXS4..,0.79,60.0,(R'_1)SAB(rs)bcSy1,(R'_1)SAB(rs)bcSy1,0.005017
1H0419-577,1123,PGC014850,16,"('66.50291666666666', '-57.20055555555555')","('64.74783', '-58.25753')",1.1853665071615558e-25,0.0,50.55306852161237,10.189357192679037,381.8620163982312,x,1100.0,1239.0,116.0,15.49,x,4.7,3.4,44.0,50.0,8.0,-99.99,x,0.79,-99,S0^0p,S0^0p,0.004133
1H0419-577,1123,NGC1291,16,"('66.50291666666666', '-57.20055555555555')","('49.32744', '-41.10807')",7.4853957277114445e-31,0.0,33.599406811092535,4.192374029115246,275.7420105244317,x,633.0,839.0,-284.0,0.81,x,2.6,1.8,45.0,156.0,6.0,586.34,RSBS0..,0.79,-99,(R_1)SB(1)0/a_HII,(R_1)SB(1)0/a_HII,0.002799
1H0419-577,1123,IC2039,16,"('66.50291666666666', '-57.20055555555555')","('62.25988', '-56.01169')",2.3660600268782023e-69,0.0,34.485854956043596,4.436552715791846,430.2810021689492,x,669.0,817.0,-306.0,9.41,x,2.7,1.8,50.0,121.0,3.6,57.3,.L..0*P,0.79,121.0,S0^0^:_pec,S0^0^:_pec,0.002725
1H0419-577,1123,UMaDwarf,16,"('66.50291666666666', '-57.20055555555555')","('158.72', '51.92')",-99.99,-99.99,-99.99,-99.99,231.11937327802514,x,1313.0,1101.0,-22.0,0.1,x,-99.99,-99.99,-99,-99,58.2,-99.99,x,0.79,-99,dSph,dSph,0.003673
1H0419-577,1123,PGC014585,16,"('66.50291666666666', '-57.20055555555555')","('62.48021', '-56.52036')",-99.99,-99.99,-99.99,-99.99,412.9387265099645,x,730.0,877.0,-246.0,10.28,x,-99.99,-99.99,-99,-99,26.3,-99.99,x,0.79,-99,SB0-:,SB0-:,0.002925
1H0419-577,1123,LSBGF157-089,16,"('66.50291666666666', '-57.20055555555555')","('64.8476', '-56.33801')",-99.99,-99.99,-99.99,-99.99,205.57078766108856,x,668.0,810.0,-313.0,9.41,x,-99.99,-99.99,-99,-99,52.9,-99.99,x,0.79,-99,bSp_or_ImIV,bSp_or_ImIV,0.002702
1H0419-577,1123,LSBGF157-081,16,"('66.50291666666666', '-57.20055555555555')","('66.8072', '-57.42837')",-99.99,-99.99,-99.99,-99.99,74.51790991275695,x,1080.0,1215.0,92.0,15.2,x,-99.99,-99.99,-99,-99,63.1,-99.99,x,0.79,-99,Irregular,Irregular,0.004053
