targetName,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
3C273.0,1013,NGC4517,15,"('187.27791666666667', '2.0525')","('188.18996', '0.11503')",0.03401658814649303,0.04709645723502604,207.56778682516213,219.60998155821605,362.518312519479,x,1420.0,1128.0,115.0,9.7,x,36.4,5.8,81.0,83.0,71.8,628.28,.SAS6*/,-99.99,83.0,SA(s)cd:_sp_HII,SA(s)cd:_sp_HII,0.003764
3C273.0,1013,2PIGGNGPGALB+3.25376+0.03674,15,"('187.27791666666667', '2.0525')","('187.0665', '1.82892')",0.005982546492221703,5.876603236336175e-84,41.24838512685209,6.547900426854397,90.57645690024147,x,1198.0,904.0,-109.0,16.87,x,3.5,1.8,59.0,40.0,3.4,-99.99,x,-99.99,-99,x,x,0.003015
3C273.0,1013,MCG+00-32-016,15,"('187.27791666666667', '2.0525')","('187.7659', '1.6757')",3.860109014026401e-05,1.3362097828156453e-296,32.702323169085005,3.952847075210474,103.15823331480142,x,1399.0,1105.0,92.0,9.59,x,2.5,1.4,55.0,80.0,47.7,73.82,.IXS9P*,-99.99,80.0,IAB(s)m_pec:,IAB(s)m_pec:,0.003686
3C273.0,1013,NGC4457,15,"('187.27791666666667', '2.0525')","('187.24588', '3.57058')",1.7330629050203675e-06,8.143916637855125e-49,79.14570127030026,27.0,283.56475831763146,x,1178.0,882.0,-131.0,10.7,x,9.0,6.1,47.0,75.0,76.2,161.49,RSXS0..,-99.99,-99,(R)SAB(s)0/a_LINER,(R)SAB(s)0/a_LINER,0.002942
3C273.0,1013,NGC4600,15,"('187.27791666666667', '2.0525')","('190.09566', '3.11775')",3.2033814152869214e-36,0.0,47.54372818749395,8.916669781930919,428.10700190986057,x,1147.0,852.0,-161.0,8.15,x,4.3,2.4,56.0,65.0,4.3,73.82,.L.....,-99.99,60.0,"S0(6),N","S0(6),N",0.002842
3C273.0,1013,PGC041626,15,"('187.27791666666667', '2.0525')","('188.21062', '2.7973')",1.9672380625140795e-38,0.0,42.058010542046325,6.8305197459636995,391.844358869336,x,1336.0,1041.0,28.0,18.82,x,3.6,2.1,53.0,2.0,49.4,-99.99,x,-99.99,-99,"dE4pec?,N","dE4pec?,N",0.003472
3C273.0,1013,PGC041695,15,"('187.27791666666667', '2.0525')","('188.32596', '2.04644')",6.101828249111981e-58,0.0,21.91938397996774,1.6565023392678924,248.79642332740738,x,966.0,672.0,-341.0,13.61,x,1.4,0.9,46.0,153.0,62.7,-99.99,x,-99.99,-99,dE2?,dE2?,0.002241
3C273.0,1013,PGC041644,15,"('187.27791666666667', '2.0525')","('188.23154', '3.36042')",8.42220740543254e-63,0.0,34.485854956043596,4.436552715791846,409.4764563567849,x,1030.0,734.0,-279.0,14.5,x,2.7,2.5,24.0,-99,44.9,37.86,.I?....,-99.99,-99,I?,I?,0.002448
3C273.0,1013,SDSSJ123103.51+014032.2,15,"('187.27791666666667', '2.0525')","('187.76466', '1.67562')",3.4614918065318456e-239,0.0,9.234670285617243,0.2529822128134704,216.3157033510628,x,1430.0,1136.0,123.0,20.14,x,0.4,0.3,32.0,111.0,16.8,-99.99,x,-99.99,-99,x,x,0.00379
3C273.0,1013,SDSSJ123254.94+032146.0,15,"('187.27791666666667', '2.0525')","('188.22896', '3.36278')",0.0,0.0,7.572053359925451,0.1643167672515498,425.11171281835936,x,1069.0,773.0,-240.0,15.05,x,0.3,0.3,27.0,46.0,10.0,-99.99,x,-99.99,-99,x,x,0.002579
3C273.0,1013,[YWP2010]J186.944+01.601,15,"('187.27791666666667', '2.0525')","('186.944', '1.601')",-99.99,-99.99,-99.99,-99.99,219.70132176753523,x,1592.0,1298.0,285.0,22.42,x,-99.99,-99.99,-99,-99,44.5,-99.99,x,-99.99,-99,x,x,0.00433
3C273.0,1013,UMaDwarf,15,"('187.27791666666667', '2.0525')","('158.72', '51.92')",-99.99,-99.99,-99.99,-99.99,96.4817487172344,x,1313.0,1101.0,88.0,0.1,x,-99.99,-99.99,-99,-99,69.2,-99.99,x,-99.99,-99,dSph,dSph,0.003673
3C273.0,1013,SDSSJ122745.86+013601.8,15,"('187.27791666666667', '2.0525')","('186.9429', '1.60015')",-99.99,-99.99,-99.99,-99.99,219.43882289483005,x,1586.0,1292.0,279.0,22.34,x,-99.99,-99.99,-99,-99,44.5,-99.99,x,-99.99,-99,dIn,dIn,0.00431
3C273.0,1013,HI1225+01SW,15,"('187.27791666666667', '2.0525')","('186.72917', '1.40972')",-99.99,-99.99,-99.99,-99.99,315.60476090421696,x,1520.0,1226.0,213.0,21.4,x,-99.99,-99.99,-99,-99,40.5,-99.99,x,-99.99,-99,x,x,0.004089
3C273.0,1013,HI1225+01NE,15,"('187.27791666666667', '2.0525')","('186.72917', '1.40972')",-99.99,-99.99,-99.99,-99.99,330.79508350848533,x,1593.0,1299.0,286.0,22.43,x,-99.99,-99.99,-99,-99,40.5,-99.99,x,-99.99,-99,x,x,0.004333
