targetName,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
HE1228+0131,1176,NGC4517,23,"('187.70833333333334', '1.256388888888889')","('188.18996', '0.11503')",0.3401077816655498,0.758467776503761,207.56778682516213,219.60998155821605,209.7249045072657,x,1420.0,1128.0,-48.0,9.7,x,36.4,5.8,81.0,83.0,74.1,628.28,.SAS6*/,0.54,83.0,SA(s)cd:_sp_HII,SA(s)cd:_sp_HII,0.003764
HE1228+0131,1176,MCG+00-32-016,23,"('187.70833333333334', '1.256388888888889')","('187.7659', '1.6757')",0.008078015898758922,2.87293890273868e-140,32.702323169085005,3.952847075210474,70.84099189662041,x,1399.0,1105.0,-71.0,9.59,x,2.5,1.4,55.0,80.0,72.2,73.82,.IXS9P*,0.54,80.0,IAB(s)m_pec:,IAB(s)m_pec:,0.003686
HE1228+0131,1176,NGC4517A,23,"('187.70833333333334', '1.256388888888889')","('188.11732', '0.38967')",0.00040332636398256617,0.0001732191447443218,184.55485695962207,170.10127277595544,403.1051346083094,x,1818.0,1525.0,349.0,24.1,x,30.7,16.9,57.0,30.0,55.3,238.86,.SBT8*.,0.54,30.0,SB(rs)dm:_HII,SB(rs)dm:_HII,0.005087
HE1228+0131,1176,UGC07612,23,"('187.70833333333334', '1.256388888888889')","('187.25892', '2.72319')",1.9710267439977764e-12,2.3747874098543922e-82,81.55643225270019,28.81985426750108,390.8965129777376,x,1870.0,1575.0,399.0,14.6,x,9.4,4.7,60.0,145.0,18.0,128.28,.S..9*.,0.54,145.0,Sm:_HII,Sm:_HII,0.005254
HE1228+0131,1176,NGC4457,23,"('187.70833333333334', '1.256388888888889')","('187.24588', '3.57058')",3.9444225015750174e-15,2.273917687305553e-117,79.14570127030026,27.0,440.70422924776545,x,1178.0,882.0,-294.0,10.7,x,9.0,6.1,47.0,75.0,86.3,161.49,RSXS0..,0.54,-99,(R)SAB(s)0/a_LINER,(R)SAB(s)0/a_LINER,0.002942
HE1228+0131,1176,2PIGGNGPGALB+3.25376+0.03674,23,"('187.70833333333334', '1.256388888888889')","('187.0665', '1.82892')",6.8219862452024944e-18,0.0,41.24838512685209,6.547900426854397,253.1884243270275,x,1198.0,904.0,-272.0,16.87,x,3.5,1.8,59.0,40.0,88.3,-99.99,x,0.54,-99,x,x,0.003015
HE1228+0131,1176,UGC07512,23,"('187.70833333333334', '1.256388888888889')","('186.42223', '2.15898')",1.819493263044111e-20,0.0,44.44619413241409,7.701882886671284,290.59491002174724,x,1800.0,1505.0,329.0,10.6,x,3.9,1.4,69.0,130.0,4.9,75.54,.IBS9..,0.54,130.0,ImIV,ImIV,0.00502
HE1228+0131,1176,NGC4600,23,"('187.70833333333334', '1.256388888888889')","('190.09566', '3.11775')",1.860591968108305e-37,0.0,47.54372818749395,8.916669781930919,430.3964203750417,x,1147.0,852.0,-324.0,8.15,x,4.3,2.4,56.0,65.0,12.9,73.82,.L.....,0.54,60.0,"S0(6),N","S0(6),N",0.002842
HE1228+0131,1176,SDSSJ123236.13+001544.7,23,"('187.70833333333334', '1.256388888888889')","('188.15055', '0.26244')",1.9009764178904113e-68,0.0,31.794042964791394,3.71806401235912,397.01456927682744,x,1485.0,1192.0,16.0,20.91,x,2.4,2.2,22.0,120.0,36.0,-99.99,x,0.54,-99,x,x,0.003976
HE1228+0131,1176,SDSSJ123103.51+014032.2,23,"('187.70833333333334', '1.256388888888889')","('187.76466', '1.67562')",2.487663146957631e-113,0.0,9.234670285617243,0.2529822128134704,148.68701639290418,x,1430.0,1136.0,-40.0,20.14,x,0.4,0.3,32.0,111.0,76.7,-99.99,x,0.54,-99,x,x,0.00379
