targetName,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
LBQS1230-0015,1163,NGC4517,14,"('188.26708333333335', '-0.5261111111111111')","('188.18996', '0.11503')",1.4697765929040765,1.5139160948760186,207.56778682516213,219.60998155821605,109.32573241978302,x,1420.0,1128.0,-35.0,9.7,x,36.4,5.8,81.0,83.0,89.9,628.28,.SAS6*/,-99.99,83.0,SA(s)cd:_sp_HII,SA(s)cd:_sp_HII,0.003764
LBQS1230-0015,1163,NGC4517A,14,"('188.26708333333335', '-0.5261111111111111')","('188.11732', '0.38967')",0.0004311996755992553,0.00019522622065628792,184.55485695962207,170.10127277595544,390.31669361357643,x,1818.0,1525.0,362.0,24.1,x,30.7,16.9,57.0,30.0,39.3,238.86,.SBT8*.,-99.99,30.0,SB(rs)dm:_HII,SB(rs)dm:_HII,0.005087
LBQS1230-0015,1163,NGC4592,14,"('188.26708333333335', '-0.5261111111111111')","('189.82807', '-0.53201')",3.3518868132958903e-15,3.694112839951389e-292,54.92250663883951,12.201516299214617,316.0233251767442,x,1360.0,1069.0,-94.0,11.6,x,5.3,2.2,65.0,80.0,10.2,345.26,.SAS8*.,-99.99,97.0,SA(s)dm:,SA(s)dm:,0.003566
LBQS1230-0015,1163,SDSSJ123236.13+001544.7,14,"('188.26708333333335', '-0.5261111111111111')","('188.15055', '0.26244')",4.295792771815935e-37,0.0,31.794042964791394,3.71806401235912,290.90591535736223,x,1485.0,1192.0,29.0,20.91,x,2.4,2.2,22.0,120.0,51.6,-99.99,x,-99.99,-99,x,x,0.003976
LBQS1230-0015,1163,2PIGGNGPGALB+3.28804-0.01245,14,"('188.26708333333335', '-0.5261111111111111')","('189.03208', '-0.98819')",7.178589820816105e-46,0.0,27.060759693886542,2.618969262897142,274.5132499349332,x,1250.0,959.0,-204.0,17.6,x,1.9,1.3,46.0,165.0,43.9,-99.99,x,-99.99,-99,x,x,0.0032
LBQS1230-0015,1163,MCG+00-32-016,14,"('188.26708333333335', '-0.5261111111111111')","('187.7659', '1.6757')",8.957205318560882e-59,0.0,32.702323169085005,3.952847075210474,377.957320680274,x,1399.0,1105.0,-58.0,9.59,x,2.5,1.4,55.0,80.0,87.2,73.82,.IXS9P*,-99.99,80.0,IAB(s)m_pec:,IAB(s)m_pec:,0.003686
LBQS1230-0015,1163,SDSSJ123227.71+002307.6,14,"('188.26708333333335', '-0.5261111111111111')","('188.1155', '0.38553')",2.5324208125843355e-115,0.0,26.06981975654495,2.414953415699773,420.33692701438133,x,1851.0,1558.0,395.0,26.06,x,1.8,1.6,26.0,26.0,35.4,-99.99,x,-99.99,-99,x,x,0.005197
LBQS1230-0015,1163,2PIGGNGPGALB+3.27248+0.01188,14,"('188.26708333333335', '-0.5261111111111111')","('188.14018', '0.40475')",2.3508654044663527e-144,0.0,19.70765993782143,1.3145341380123985,358.2715281018547,x,1552.0,1259.0,96.0,21.85,x,1.2,1.0,32.0,106.0,66.2,-99.99,x,-99.99,-99,x,x,0.0042
LBQS1230-0015,1163,2PIGGNGPGALB+3.27192+0.01184,14,"('188.26708333333335', '-0.5261111111111111')","('188.10766', '0.40259')",1.2692283885558873e-259,0.0,16.159478144105144,0.8538149682454624,394.04556276074476,x,1702.0,1409.0,246.0,23.96,x,0.9,0.9,0.0,172.0,1.7,-99.99,x,-99.99,-99,x,x,0.0047
LBQS1230-0015,1163,SDSSJ123718.74+001248.0,14,"('188.26708333333335', '-0.5261111111111111')","('189.32817', '0.21342')",0.0,0.0,7.572053359925451,0.1643167672515498,361.85218774556665,x,1138.0,846.0,-317.0,16.03,x,0.3,0.3,32.0,80.0,24.9,-99.99,x,-99.99,-99,x,x,0.002822
LBQS1230-0015,1163,UMaDwarf,14,"('188.26708333333335', '-0.5261111111111111')","('158.72', '51.92')",-99.99,-99.99,-99.99,-99.99,101.30193782682902,x,1313.0,1101.0,-62.0,0.1,x,-99.99,-99.99,-99,-99,69.6,-99.99,x,-99.99,-99,dSph,dSph,0.003673
LBQS1230-0015,1163,2PIGGNGPGALB+3.27867+0.01156,14,"('188.26708333333335', '-0.5261111111111111')","('188.49412', '0.38675')",-99.99,-99.99,-99.99,-99.99,428.1758249535831,x,1852.0,1559.0,396.0,26.08,x,-99.99,-99.99,-99,-99,67.0,-99.99,x,-99.99,-99,x,x,0.0052
LBQS1230-0015,1163,2PIGGNGPGALB+3.27205+0.01125,14,"('188.26708333333335', '-0.5261111111111111')","('188.11533', '0.36881')",-99.99,-99.99,-99.99,-99.99,393.04713399494784,x,1762.0,1469.0,306.0,24.81,x,-99.99,-99.99,-99,-99,89.4,-99.99,x,-99.99,-99,x,x,0.0049
LBQS1230-0015,1163,2PIGGNGPGALB+3.25723+0.00663,14,"('188.26708333333335', '-0.5261111111111111')","('187.26608', '0.10381')",-99.99,-99.99,-99.99,-99.99,416.1436797860783,x,1432.0,1139.0,-24.0,20.16,x,-99.99,-99.99,-99,-99,41.2,-99.99,x,-99.99,-99,dE,dE,0.0038
