targetName,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
MS1228.6+1219,1286,NGC4486,131,"('187.80458333333334', '12.051944444444445')","('187.70593', '12.39112')",1.5884217866859922,1.6381338689726366,210.31391004631504,225.97524421936134,100.93013500664554,x,1584.0,1284.0,-2.0,16.4,x,37.1,31.9,31.0,153.0,11.1,499.06,.E+0+P.,-99.99,-99,E+0-1_pec;NLRG_Sy,E+0-1_pec;NLRG_Sy,0.004283
MS1228.6+1219,1286,SDSSJ123047.55+122318.1,131,"('187.80458333333334', '12.051944444444445')","('187.69813', '12.38836')",0.30484287927917664,0.031029376765478397,124.73231456962048,72.58115457885744,134.9032765939315,x,1559.0,1259.0,-27.0,21.95,x,17.4,17.1,12.0,5.0,22.2,-99.99,x,-99.99,-99,x,x,0.0042
MS1228.6+1219,1286,PGC041360,131,"('187.80458333333334', '12.051944444444445')","('187.70217', '12.04502')",0.21746288271652364,1.2743349311906826e-92,24.034925927759257,2.023857702507763,29.437899343178856,x,1554.0,1254.0,-32.0,16.8,x,1.6,0.8,59.0,78.0,8.0,13.13,       ,-99.99,-99,Blue_Compact_Dwarf,Blue_Compact_Dwarf,0.004183
MS1228.6+1219,1286,NGC4478,131,"('187.80458333333334', '12.051944444444445')","('187.57257', '12.32855')",0.20023126198699798,9.310717995932102e-06,83.34364623140944,30.210478314651024,102.38241221687515,x,1649.0,1349.0,63.0,16.4,x,9.7,7.9,35.0,140.0,0.6,114.33,.E.2...,-99.99,140.0,E2,E2,0.0045
MS1228.6+1219,1286,SDSSJ123048.60+120242.8,131,"('187.80458333333334', '12.051944444444445')","('187.70252', '12.04523')",0.15015294217384725,1.1562409412814197e-74,28.99554748433651,3.043189116699782,39.704592050015634,x,1615.0,1315.0,29.0,22.74,x,2.1,0.9,65.0,78.0,8.1,-99.99,x,-99.99,-99,Extended_Src_[SDSS],Extended_Src_[SDSS],0.004386
MS1228.6+1219,1286,SDSSJ123046.38+120556.5,131,"('187.80458333333334', '12.051944444444445')","('187.69329', '12.09908')",0.12373035118561079,5.210375122338076e-67,31.794042964791394,3.71806401235912,45.93277220664301,x,1576.0,1276.0,-10.0,22.19,x,2.4,1.6,47.0,38.0,75.4,-99.99,x,-99.99,-99,x,x,0.004255
MS1228.6+1219,1286,NGC4497,131,"('187.80458333333334', '12.051944444444445')","('187.88553', '11.62472')",0.0363310547441893,6.41989698330781e-05,105.23055156994991,50.1543218476733,143.633242472621,x,1345.0,1045.0,-241.0,18.94,x,13.6,5.2,68.0,75.0,85.5,122.5,.LXS+*.,-99.99,65.0,SAB(s)0+:,SAB(s)0+:,0.003486
MS1228.6+1219,1286,NGC4503,131,"('187.80458333333334', '12.051944444444445')","('188.02597', '11.17642')",0.03497972002520021,1.2931435844407112e-07,101.46281332368314,46.332375289855364,184.18747738135545,x,1634.0,1334.0,48.0,11.7,x,12.9,6.2,61.0,15.0,28.9,212.89,.LB.-*.,-99.99,12.0,SB0-:_PAS,SB0-:_PAS,0.00445
MS1228.6+1219,1286,SDSSJ123018.04+121923.1,131,"('187.80458333333334', '12.051944444444445')","('187.57517', '12.32311')",0.02993150422944902,5.1420919418935505e-11,83.93555998723402,30.678852651297117,148.06822079802097,x,1712.0,1412.0,126.0,24.11,x,9.8,8.2,33.0,137.0,3.4,-99.99,x,-99.99,-99,x,x,0.004709
MS1228.6+1219,1286,NGC4429,131,"('187.80458333333334', '12.051944444444445')","('186.86045', '11.10771')",0.013760488418045448,0.012754952428849615,196.0112132603446,193.89526812173628,364.4888436919738,x,1404.0,1104.0,-182.0,15.8,x,33.5,11.4,70.0,97.0,52.6,337.4,.LAR+..,-99.99,99.0,SA(r)0+;LINER_HII,SA(r)0+;LINER_HII,0.003683
