targetName,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
RX_J1117.6+5301,1259,NGC3631,11,"('169.41875000000002', '53.030833333333334')","('170.26198', '53.16957')",0.976560172619226,0.16127148931899202,116.70068090480368,62.80375784935166,78.42781462167117,x,1378.0,1156.0,-103.0,8.56,x,15.8,15.2,16.0,28.0,46.7,300.71,.SAS5..,0.83,-99,SA(s)c,SA(s)c,0.003856
RX_J1117.6+5301,1259,SDSSJ112103.92+531005.2,11,"('169.41875000000002', '53.030833333333334')","('170.26633', '53.16811')",0.0046162140429808745,2.0331438940040367e-19,78.53786744113215,26.55125232451381,173.13601858383012,x,1337.0,1115.0,-144.0,18.82,x,8.9,3.6,66.0,107.0,32.1,-99.99,x,0.83,-99,x,x,0.003719
RX_J1117.6+5301,1259,SDSSJ112103.68+531016.1,11,"('169.41875000000002', '53.030833333333334')","('170.26533', '53.17114')",0.0006915591169919235,5.472786492134814e-39,67.19984334193845,18.918535884153403,177.25144250293997,x,1368.0,1146.0,-113.0,19.26,x,7.1,5.0,46.0,143.0,68.4,-99.99,x,0.83,-99,x,x,0.003824
RX_J1117.6+5301,1259,UGC06251,11,"('169.41875000000002', '53.030833333333334')","('168.35892', '53.59508')",4.131152915162327e-06,2.6756771669214025e-31,86.28476458147732,32.57618762224947,267.9187657414446,x,1146.0,927.0,-332.0,18.1,x,10.2,7.6,42.0,60.0,71.5,109.18,.SX.9*.,0.83,60.0,SABm:,SABm:,0.003092
RX_J1117.6+5301,1259,NGC3657,11,"('169.41875000000002', '53.030833333333334')","('170.98159', '52.92099')",2.616680409758813e-16,4.8469535898492896e-239,61.87924114867984,15.812874501494028,370.40323998586734,x,1438.0,1215.0,-44.0,22.4,x,6.3,5.0,37.0,165.0,68.3,86.73,.SXT5P.,0.83,-99,SAB(rs)c_pec_HII,SAB(rs)c_pec_HII,0.004053
RX_J1117.6+5301,1259,SDSSJ111343.60+533848.3,11,"('169.41875000000002', '53.030833333333334')","('168.43171', '53.64675')",1.1242859864237713e-27,0.0,30.873950736811498,3.488122704263713,237.30206255249556,x,1133.0,914.0,-345.0,15.95,x,2.3,0.8,70.0,104.0,32.1,-99.99,x,0.83,-99,x,x,0.003049
RX_J1117.6+5301,1259,NGC3642,11,"('169.41875000000002', '53.030833333333334')","('170.57455', '59.07451')",9.59317875311065e-52,0.0,39.60724351420745,5.994747701113033,424.3105115267578,x,1790.0,1588.0,329.0,4.0,x,3.3,3.3,8.0,105.0,81.6,322.22,.SAR4*.,0.83,105.0,SA(r)bc:;LINER_Sy3,SA(r)bc:;LINER_Sy3,0.005297
RX_J1117.6+5301,1259,SDSSJ112059.33+531125.6,11,"('169.41875000000002', '53.030833333333334')","('170.24722', '53.19049')",3.1288706216165915e-65,0.0,14.898141370053176,0.7155417527999328,181.49772478367998,x,1414.0,1192.0,-67.0,19.91,x,0.8,0.8,16.0,9.0,63.2,-99.99,x,0.83,-99,x,x,0.003976
RX_J1117.6+5301,1259,SDSSJ112110.17+530951.2,11,"('169.41875000000002', '53.030833333333334')","('170.29238', '53.16426')",4.2238536645686235e-71,0.0,13.586814548942638,0.5856620185738528,172.50246618843715,x,1297.0,1075.0,-184.0,18.26,x,0.7,0.6,38.0,51.0,24.8,-99.99,x,0.83,-99,x,x,0.003585
RX_J1117.6+5301,1259,SDSSJ110819.94+533627.7,11,"('169.41875000000002', '53.030833333333334')","('167.08308', '53.60772')",9.250445293449083e-151,0.0,26.06981975654495,2.414953415699773,484.0331400652017,x,1304.0,1087.0,-172.0,18.37,x,1.8,1.3,41.0,46.0,66.3,-99.99,x,0.83,-99,x,x,0.003626
RX_J1117.6+5301,1259,UMaDwarf,11,"('169.41875000000002', '53.030833333333334')","('158.72', '51.92')",-99.99,-99.99,-99.99,-99.99,11.526395453405204,x,1313.0,1101.0,-158.0,0.1,x,-99.99,-99.99,-99,-99,0.8,-99.99,x,0.83,-99,dSph,dSph,0.003673
