targetName,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
SDSSJ112224.10+031802.0,1049,NGC3640,11,"('170.60041666666666', '3.3005555555555555')","('170.27854', '3.23483')",0.23971927172991842,0.19177288860163932,171.91391896736113,145.7872868257037,129.95247320333513,x,1582.0,1298.0,249.0,22.7,x,27.7,22.2,37.0,100.0,21.6,238.86,.E.3...,-99.99,100.0,E3,E3,0.00433
SDSSJ112224.10+031802.0,1049,SDSSJ1121+0324,11,"('170.60041666666666', '3.3005555555555555')","('170.47037', '3.40589')",0.004908086835992587,7.713305344486455e-181,28.99554748433651,3.043189116699782,61.917349407168075,x,1507.0,1223.0,174.0,21.22,x,2.1,1.2,56.0,72.0,57.1,-99.99,x,-99.99,-99,BlueCG,BlueCG,0.004079
SDSSJ112224.10+031802.0,1049,NGC3664A,11,"('170.60041666666666', '3.3005555555555555')","('171.10458', '3.2225')",2.0793899687353794e-05,3.088925993289559e-35,78.53786744113215,26.55125232451381,233.80850953541832,x,1611.0,1326.0,277.0,26.3,x,8.9,8.9,0.0,-99,17.8,49.91,RSBS9*.,-99.99,-99,(R)SB(s)m:,(R)SB(s)m:,0.004423
SDSSJ112224.10+031802.0,1049,KPG283B,11,"('170.60041666666666', '3.3005555555555555')","('171.10342', '3.31411')",1.4749692648104347e-06,6.504937792384061e-77,61.19983704356188,15.43787550150603,203.05851765512784,x,1645.0,1360.0,311.0,23.16,x,6.2,2.2,70.0,106.0,17.5,-99.99,x,-99.99,-99,Sm,Sm,0.004535
SDSSJ112224.10+031802.0,1049,SDSSJ112425.02+031316.4,11,"('170.60041666666666', '3.3005555555555555')","('171.10425', '3.22125')",5.017465152265724e-08,7.247096058036489e-151,52.027780007432355,10.846612374377543,201.1298078545955,x,1607.0,1322.0,273.0,22.63,x,4.9,2.1,65.0,165.0,66.0,-99.99,x,-99.99,-99,x,x,0.00441
SDSSJ112224.10+031802.0,1049,NGC3664,11,"('170.60041666666666', '3.3005555555555555')","('171.10104', '3.325')",1.8431086903847393e-08,2.1829682652546521e-134,54.92250663883951,12.201516299214617,213.09385532398946,x,1666.0,1381.0,332.0,24.4,x,5.3,4.7,26.0,40.0,47.2,122.5,.SBS9P.,-99.99,-99,SB(s)m_pec,SB(s)m_pec,0.004607
SDSSJ112224.10+031802.0,1049,SDSSJ112204.12+033651.6,11,"('170.60041666666666', '3.3005555555555555')","('170.5172', '3.61435')",1.6956203763910396e-11,0.0,29.941368737561735,3.263127334322092,137.32871558187634,x,1721.0,1437.0,388.0,24.24,x,2.2,1.6,45.0,15.0,29.8,-99.99,x,-99.99,-99,x,x,0.004794
SDSSJ112224.10+031802.0,1049,SDSSJ112425.75+031946.1,11,"('170.60041666666666', '3.3005555555555555')","('171.10729', '3.32947')",4.709294485741523e-128,0.0,12.215868886348156,0.46475800154489,208.15142631489562,x,1671.0,1386.0,337.0,23.53,x,0.6,0.4,49.0,110.0,23.3,-99.99,x,-99.99,-99,x,x,0.004624
SDSSJ112224.10+031802.0,1049,PGC034653,11,"('170.60041666666666', '3.3005555555555555')","('169.88763', '3.01531')",0.0,0.0,7.572053359925451,0.1643167672515498,289.0534181595975,x,1534.0,1251.0,202.0,21.6,x,0.3,0.1,78.0,1.0,67.2,-99.99,x,-99.99,-99,x,x,0.004174
SDSSJ112224.10+031802.0,1049,UMaDwarf,11,"('170.60041666666666', '3.3005555555555555')","('158.72', '51.92')",-99.99,-99.99,-99.99,-99.99,86.60143209138002,x,1313.0,1101.0,52.0,0.1,x,-99.99,-99.99,-99,-99,85.3,-99.99,x,-99.99,-99,dSph,dSph,0.003673
SDSSJ112224.10+031802.0,1049,NGC3640COMP,11,"('170.60041666666666', '3.3005555555555555')","('170.46392', '3.40483')",-99.99,-99.99,-99.99,-99.99,63.54745822510206,x,1507.0,1223.0,174.0,21.22,x,-99.99,-99.99,-99,-99,46.4,-99.99,x,-99.99,-99,Irr(f),Irr(f),0.00408
