targetName,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
MS1228.6+1219,866,PGC041458,110,"('187.80458333333334', '12.051944444444445')","('187.88897', '12.06378')",1.0662016326651724,7.774502011818306e-13,33.599406811092535,4.192374029115246,22.058713610875785,x,1077.0,777.0,-89.0,15.16,x,2.6,1.7,49.0,154.0,72.2,-99.99,x,-99.99,-99,"dE6,N","dE6,N",0.002591
MS1228.6+1219,866,NGC4486A,110,"('187.80458333333334', '12.051944444444445')","('187.74046', '12.27036')",0.2697988804726566,1.96130205317328e-06,67.19984334193845,18.918535884153403,67.81787696776506,x,1058.0,758.0,-108.0,17.1,x,7.1,5.7,37.0,5.0,21.0,-99.99,x,-99.99,-99,E2,E2,0.002528
MS1228.6+1219,866,SDSSJ123120.61+120423.5,110,"('187.80458333333334', '12.051944444444445')","('187.83589', '12.07321')",0.1443212832198714,0.0,7.572053359925451,0.1643167672515498,9.660493014148916,x,1055.0,755.0,-111.0,14.85,x,0.3,0.3,31.0,138.0,82.8,-99.99,x,-99.99,-99,Extended_Src_[SDSS],Extended_Src_[SDSS],0.002518
MS1228.6+1219,866,NGC4497,110,"('187.80458333333334', '12.051944444444445')","('187.88553', '11.62472')",0.06966324715076846,0.00012309878515216348,105.23055156994991,50.1543218476733,143.633242472621,x,1345.0,1045.0,179.0,18.94,x,13.6,5.2,68.0,75.0,85.5,122.5,.LXS+*.,-99.99,65.0,SAB(s)0+:,SAB(s)0+:,0.003486
MS1228.6+1219,866,PGC041570,110,"('187.80458333333334', '12.051944444444445')","('188.09789', '11.89327')",0.02161142773475339,1.420224987502223e-49,46.7780388647478,8.607438643406063,91.2748270022982,x,1133.0,833.0,-33.0,15.95,x,4.2,3.3,38.0,77.0,42.0,37.86,.I?....,-99.99,-99,Im,Im,0.002777
MS1228.6+1219,866,IC3461,110,"('187.80458333333334', '12.051944444444445')","('188.0114', '11.89007')",0.015206761685152635,7.725711008383072e-41,49.80843587295778,9.865900871182518,94.51523248720551,x,1319.0,1019.0,153.0,20.9,x,4.6,3.8,34.0,160.0,31.3,41.51,.E?....,-99.99,-99,"dE,N","dE,N",0.003399
MS1228.6+1219,866,NGC4429,110,"('187.80458333333334', '12.051944444444445')","('186.86045', '11.10771')",0.007643085075562427,0.0070845731333638515,196.0112132603446,193.89526812173628,364.4888436919738,x,1404.0,1104.0,238.0,15.8,x,33.5,11.4,70.0,97.0,52.6,337.4,.LAR+..,-99.99,99.0,SA(r)0+;LINER_HII,SA(r)0+;LINER_HII,0.003683
MS1228.6+1219,866,SDSSJ123047.55+122318.1,110,"('187.80458333333334', '12.051944444444445')","('187.69813', '12.38836')",0.006532544261463917,0.0006649352532210316,124.73231456962048,72.58115457885744,134.9032765939315,x,1559.0,1259.0,393.0,21.95,x,17.4,17.1,12.0,5.0,22.2,-99.99,x,-99.99,-99,x,x,0.0042
MS1228.6+1219,866,IC3466,110,"('187.80458333333334', '12.051944444444445')","('188.02367', '11.81792')",0.006354512133130446,2.8115930012154877e-83,42.058010542046325,6.8305197459636995,94.16078625067202,x,1209.0,909.0,43.0,17.0,x,3.6,2.9,37.0,68.0,69.5,35.33,.S?....,-99.99,-99,"pec,N","pec,N",0.003032
MS1228.6+1219,866,PGC041360,110,"('187.80458333333334', '12.051944444444445')","('187.70217', '12.04502')",0.005175977352928191,3.0331285327834453e-94,24.034925927759257,2.023857702507763,29.437899343178856,x,1554.0,1254.0,388.0,16.8,x,1.6,0.8,59.0,78.0,8.0,13.13,       ,-99.99,-99,Blue_Compact_Dwarf,Blue_Compact_Dwarf,0.004183
