targetName,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
PG1216+069,1903,PGC039556,39,"('184.83708333333334', '6.643888888888889')","('184.66095', '6.70838')",0.14060361672221733,0.002269761106302771,117.71797644505983,64.0,154.89693385166893,x,2297.0,1999.0,96.0,47.6,x,16.0,5.1,71.0,160.0,49.8,-99.99,x,0.47,-99,Sc_(on_edge),Sc_(on_edge),0.006668
PG1216+069,1903,PGC039653,39,"('184.83708333333334', '6.643888888888889')","('184.83614', '6.7051')",0.13752370212297033,2.0517258304976443e-10,46.00667649591621,8.3018672598398,37.39599086997573,x,2485.0,2187.0,284.0,35.0,x,4.1,3.5,31.0,79.0,79.8,-99.99,x,0.47,-99,x,x,0.007295
PG1216+069,1903,NGC4260,39,"('184.83708333333334', '6.643888888888889')","('184.84267', '6.09868')",0.03574367447212451,0.0371345504551987,198.82821480290434,200.00421995547995,358.7599891629055,x,2256.0,1958.0,55.0,37.7,x,34.2,16.4,61.0,45.0,45.6,161.49,.SBS1..,0.47,58.0,SB(s)a;Sy_LINER,SB(s)a;Sy_LINER,0.006531
PG1216+069,1903,NGC4223,39,"('184.83708333333334', '6.643888888888889')","('184.35755', '6.69007')",0.005171182384492267,0.0004155501615214327,147.10609559527887,103.89350797812153,233.01595863134264,x,2533.0,2235.0,332.0,27.9,x,22.1,11.9,57.0,130.0,34.5,154.22,.LAS+*.,0.47,128.0,SA(s)0+:;Sy_LINER,SA(s)0+:;Sy_LINER,0.007455
PG1216+069,1903,NGC4261,39,"('184.83708333333334', '6.643888888888889')","('184.84675', '5.82522')",0.0034661267928022916,0.013711442978197583,249.4127154056919,327.37115786214275,451.54672292510605,x,2510.0,2212.0,309.0,31.6,x,47.5,40.8,31.0,173.0,6.3,244.43,.E.2+..,0.47,160.0,E2-3;LINER_Sy3,E2-3;LINER_Sy3,0.007378
PG1216+069,1903,PGC039533,39,"('184.83708333333334', '6.643888888888889')","('184.61884', '6.40576')",5.8992154926144735e-05,1.950080705681078e-59,62.55531020447933,16.190861620062105,187.7397427305677,x,2372.0,2074.0,171.0,33.4,x,6.4,4.9,41.0,144.0,78.3,-99.99,x,0.47,-99,"dE4,N:","dE4,N:",0.006918
PG1216+069,1903,NGC4215,39,"('184.83708333333334', '6.643888888888889')","('183.97723', '6.40115')",5.113898622045112e-05,3.655330248348695e-16,113.62452368874946,59.2605096164385,351.85762300477774,x,2309.0,2011.0,108.0,22.7,x,15.2,5.2,70.0,175.0,79.1,111.73,.LAR+*/,0.47,174.0,SA(r)0+:_sp,SA(r)0+:_sp,0.006708
PG1216+069,1903,NGC4266,39,"('184.83708333333334', '6.643888888888889')","('184.92623', '5.53828')",1.1440945404620938e-05,9.896894419182777e-07,176.5959813839234,154.55701860478547,499.8348565745299,x,1833.0,1536.0,-367.0,25.82,x,28.8,5.8,78.0,76.0,80.6,119.72,.SBS1$/,0.47,76.0,SB(s)a?_sp_LINER,SB(s)a?_sp_LINER,0.005124
PG1216+069,1903,NGC4303,39,"('184.83708333333334', '6.643888888888889')","('185.47873', '4.47365')",3.2637750734708187e-06,1.2600349884758934e-09,153.92504245515624,114.64840164607618,481.6993403123975,x,1863.0,1566.0,-337.0,12.2,x,23.6,17.7,41.0,20.0,36.4,387.39,.SXT4..,0.47,-99,SAB(rs)bc;HII_Sy2,SAB(rs)bc;HII_Sy2,0.005224
PG1216+069,1903,PGC039647,39,"('184.83708333333334', '6.643888888888889')","('184.81387', '6.30712')",2.290561482985801e-06,9.349068523658493e-53,68.50034731443957,19.723513885715192,212.8596746776739,x,2566.0,2268.0,365.0,36.13,x,7.3,3.4,63.0,44.0,40.1,-99.99,x,0.47,-99,S0_1_(6),S0_1_(6),0.007565
