targetName,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift,AGNredshift,spectrumStatus,include,include_vir,include_custom,Lya_v,vlimits,Lya_W,Na,b,identified,comment
1H0717+714,2870,UGC03804,1,"('110.47291666666666', '71.34333333333333')","('110.64454', '71.59894')",0.24305249974825316,0.12598095141708388,168.04012962577582,138.74016001144008,199.34211888878826,x,2973.0,2887.0,17.0,43.7,x,26.8,16.1,53.0,5.0,7.1,106.7,.S..6*.,0.6,13.0,Scd:,Scd:,0.00963,0.5003,x,?,True,True,2870,"2760, 2960",343pm6,9.25E13 pm 1.97E12,57.1pm 1.7,d:Lya,"blended with 2956, center is 2860; p : ONLY 1 GALAXY : ONLY 1 GALAXY : ONLY 1 GALAXY : ONLY 1 GALAXY"
1H0717+714,2956,UGC03804,1,"('110.47291666666666', '71.34333333333333')","('110.64454', '71.59894')",0.21734315595565054,0.1126550749309102,168.04012962577582,138.74016001144008,199.34211888878826,x,2973.0,2887.0,-69.0,43.7,x,26.8,16.1,53.0,5.0,7.1,106.7,.S..6*.,0.6,13.0,Scd:,Scd:,0.00963,0.5003,x,?,True,True,2956,"2954, 3022",39pm4,7.94E12 pm 8.35E11,24.4pm 2.4,d:Lya,"d:Lya labeled at 2956, center is 2988, blended with 2870 - needs fitting; p : ONLY 1 GALAXY : ONLY 1 GALAXY : ONLY 1 GALAXY : ONLY 1 GALAXY"
1H0717+714,3839.0,x,0,"('110.47208', '71.34333')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.5003,x,False,False,False,3839,"3785, 3905",45pm5,8.76E12 pm 1.04E12,41.2pm 2.5,d:Lya,"d:Lya labeled at 3839 - seems wrong, weak; p : NO GALAXIES : NO GALAXIES : NO GALAXIES : NO GALAXIES"
1H0717+714,5292.0,x,0,"('110.47208', '71.34333')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.5003,x,False,False,False,5292,"5223, 5339",46pm5,8.88E12 pm 9.27E11,41.0pm 2.5,d:Lya,"center is 5281, no galaxy with b<2000kpc at this velocity : NO GALAXIES : NO GALAXIES : NO GALAXIES : NO GALAXIES"
1H0717+714,6271.0,x,0,"('110.47208', '71.34333')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.5003,x,False,False,False,6271,"6219, 6335",150pm4,3.51E13 pm 1.18E12,35.6pm 2.1,d:Lya,"center is 6277, no galaxy with b<2000kpc at this velocity : NO GALAXIES : NO GALAXIES : NO GALAXIES : NO GALAXIES"
1H0717+714,7795.0,x,0,"('110.47208', '71.34333')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.5003,x,False,False,False,7795,"7768, 7836",49pm3,1.00E13 pm 7.06E11,24.4pm 2.0,d:Lya,"center is 7802, no galaxy with b<2000kpc at this velocity : NO GALAXIES : NO GALAXIES : NO GALAXIES : NO GALAXIES"
2dFGRS_S393Z082,1239,NGC1097,9,"('41.25333333333334', '-30.123055555555556')","('41.57937', '-30.27489')",1.7329711357410738,1.8328553664433611,260.533669654627,359.9364054940817,89.38614646939693,x,1030.0,1271.0,32.0,16.0,x,50.6,27.8,57.0,145.0,26.7,559.95,.SBS3..,0.62,130.0,(R'_1:)SB(r'l)bSy1,(R'_1:)SB(r'l)bSy1,0.00424,0.34,x,?,False,True,1239,"1145, 1339",570pm21,2.16E14 pm 2.11E13,62.9pm 1.8,done,"center is 1242, original name = TGS393Z082 : VIRIAL AND CUSTOM INCLUDE MISMATCH"
2dFGRS_S393Z082,3012.0,x,0,"('41.25333', '-30.12306')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.34,x,False,False,False,3012,"2970, 3028",52pm13,1.13E13 pm 3.22E12,20.7pm 2.6,done,center is 2999 : NO GALAXIES : NO GALAXIES : NO GALAXIES : NO GALAXIES
2dFGRS_S393Z082,4052.0,x,0,"('41.25333', '-30.12306')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.34,x,False,False,False,4052,"4003, 4055",36pm13,7.41E12 pm 2.81E12,18.7pm 2.7,done,center is 4029 : NO GALAXIES : NO GALAXIES : NO GALAXIES : NO GALAXIES
3C273.0,1013,NGC4517,15,"('187.27791666666667', '2.0525')","('188.18996', '0.11503')",0.03401658814649303,0.04709645723502604,207.56778682516213,219.60998155821605,362.518312519479,x,1420.0,1128.0,115.0,9.7,x,36.4,5.8,81.0,83.0,71.8,628.28,.SAS6*/,-99.99,83.0,SA(s)cd:_sp_HII,SA(s)cd:_sp_HII,0.003764,0.1583,x,?,True,True,1013,"910, 1116",376pm3,1.33E14 pm 1.07E12,44.5pm 2.3,Lya,"strong, I measure center at 1010, near NGC4536 - see Lya:1582; p : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH"
