targetName,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
CSO395,1025,UGC07207,10,"('182.81083333333333', '36.96111111111111')","('183.07819', '37.01481')",1.1693910967733272,0.1573976893359056,115.67938547921628,61.615063093370274,83.3986594329305,x,1324.0,1051.0,26.0,21.7,x,15.6,7.8,60.0,112.0,36.1,137.45,.I..9..,-99.99,-99,IB(s)m_V,IB(s)m_V,0.003506
CSO395,1025,UGC07125,10,"('182.81083333333333', '36.96111111111111')","('182.17638', '36.80275')",0.8448079579652711,0.00946228919943938,94.29225294809766,39.50817636894925,84.80502473239302,x,1345.0,1071.0,46.0,9.14,x,11.6,2.0,80.0,85.0,12.3,280.64,.S..9..,-99.99,85.0,Sdm,Sdm,0.003572
CSO395,1025,NGC4151,10,"('182.81083333333333', '36.96111111111111')","('182.63574', '39.40573')",0.000278420089036342,5.198312425159573e-26,85.70018272660332,32.098302135782816,244.86687575048188,x,1263.0,995.0,-30.0,5.73,x,10.1,8.1,36.0,130.0,46.7,378.57,PSXT2*.,-99.99,50.0,(R')SAB(rs)ab:_Sy1.5,(R')SAB(rs)ab:_Sy1.5,0.003319
CSO395,1025,UGC07257,10,"('182.81083333333333', '36.96111111111111')","('183.76233', '35.9585')",1.3488406241328221e-20,0.0,40.43155575527607,6.269290230959163,272.96610058515955,x,1218.0,942.0,-83.0,12.4,x,3.4,1.5,64.0,170.0,27.2,80.94,.S..8*.,-99.99,160.0,Sdm:,Sdm:,0.003142
CSO395,1025,NGC4145A,10,"('182.81083333333333', '36.96111111111111')","('182.72726', '39.75737')",2.446612907642542e-34,0.0,50.55306852161237,10.189357192679037,443.26123828725076,x,1435.0,1168.0,143.0,9.08,x,4.7,1.1,76.0,75.0,76.4,-99.99,x,-99.99,-99,Spiral,Spiral,0.003896
CSO395,1025,SDSSJ121116.75+374917.0,10,"('182.81083333333333', '36.96111111111111')","('182.81983', '37.82142')",1.608903483281856e-35,0.0,27.060759693886542,2.618969262897142,241.30293575628113,x,1142.0,870.0,-155.0,16.07,x,1.9,1.0,59.0,162.0,18.5,-99.99,x,-99.99,-99,x,x,0.002901
CSO395,1025,SDSSJ120809.74+372724.6,10,"('182.81083333333333', '36.96111111111111')","('182.0406', '37.45685')",3.1019303821576124e-44,0.0,26.06981975654495,2.414953415699773,260.85677697960017,x,1346.0,1074.0,49.0,18.95,x,1.8,1.6,32.0,130.0,1.1,-99.99,x,-99.99,-99,x,x,0.003583
CSO395,1025,MCG+06-27-038,10,"('182.81083333333333', '36.96111111111111')","('183.75746', '35.96494')",1.7551511108999158e-71,0.0,29.941368737561735,3.263127334322092,382.0640217110571,x,1240.0,964.0,-61.0,17.46,x,2.2,1.7,38.0,81.0,61.8,-99.99,x,-99.99,-99,x,x,0.003215
CSO395,1025,SDSSJ120901.58+353540.7,10,"('182.81083333333333', '36.96111111111111')","('182.25658', '35.59467')",3.2564536371524596e-85,0.0,26.06981975654495,2.414953415699773,361.8176075347045,x,1024.0,748.0,-277.0,14.42,x,1.8,1.0,55.0,8.0,10.0,-99.99,x,-99.99,-99,x,x,0.002494
CSO395,1025,UMaDwarf,10,"('182.81083333333333', '36.96111111111111')","('158.72', '51.92')",-99.99,-99.99,-99.99,-99.99,39.450615527023416,x,1313.0,1101.0,76.0,0.1,x,-99.99,-99.99,-99,-99,46.9,-99.99,x,-99.99,-99,dSph,dSph,0.003673
