targetName,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
MS1228.6+1219,1046,NGC4486,136,"('187.80458333333334', '12.051944444444445')","('187.70593', '12.39112')",0.38548266147896937,0.3975469292623383,210.31391004631504,225.97524421936134,100.93013500664554,x,1584.0,1284.0,238.0,16.4,x,37.1,31.9,31.0,153.0,11.1,499.06,.E+0+P.,-99.99,-99,E+0-1_pec;NLRG_Sy,E+0-1_pec;NLRG_Sy,0.004283
MS1228.6+1219,1046,PGC041458,136,"('187.80458333333334', '12.051944444444445')","('187.88897', '12.06378')",0.21290748650072758,1.5524734078613964e-13,33.599406811092535,4.192374029115246,22.058713610875785,x,1077.0,777.0,-269.0,15.16,x,2.6,1.7,49.0,154.0,72.2,-99.99,x,-99.99,-99,"dE6,N","dE6,N",0.002591
MS1228.6+1219,1046,NGC4497,136,"('187.80458333333334', '12.051944444444445')","('187.88553', '11.62472')",0.15519352369851727,0.00027423548301480844,105.23055156994991,50.1543218476733,143.633242472621,x,1345.0,1045.0,-1.0,18.94,x,13.6,5.2,68.0,75.0,85.5,122.5,.LXS+*.,-99.99,65.0,SAB(s)0+:,SAB(s)0+:,0.003486
MS1228.6+1219,1046,SDSSJ123047.55+122318.1,136,"('187.80458333333334', '12.051944444444445')","('187.69813', '12.38836')",0.09986272510626808,0.01016483681520409,124.73231456962048,72.58115457885744,134.9032765939315,x,1559.0,1259.0,213.0,21.95,x,17.4,17.1,12.0,5.0,22.2,-99.99,x,-99.99,-99,x,x,0.0042
MS1228.6+1219,1046,PGC041360,136,"('187.80458333333334', '12.051944444444445')","('187.70217', '12.04502')",0.07564324789993507,4.4327028090242024e-93,24.034925927759257,2.023857702507763,29.437899343178856,x,1554.0,1254.0,208.0,16.8,x,1.6,0.8,59.0,78.0,8.0,13.13,       ,-99.99,-99,Blue_Compact_Dwarf,Blue_Compact_Dwarf,0.004183
MS1228.6+1219,1046,NGC4486A,136,"('187.80458333333334', '12.051944444444445')","('187.74046', '12.27036')",0.04540747750750646,3.300895048521809e-07,67.19984334193845,18.918535884153403,67.81787696776506,x,1058.0,758.0,-288.0,17.1,x,7.1,5.7,37.0,5.0,21.0,-99.99,x,-99.99,-99,E2,E2,0.002528
MS1228.6+1219,1046,SDSSJ123048.60+120242.8,136,"('187.80458333333334', '12.051944444444445')","('187.70252', '12.04523')",0.037511193498571384,2.4947982739475082e-45,32.702323169085005,3.952847075210474,39.704592050015634,x,1615.0,1315.0,269.0,22.74,x,2.5,1.1,65.0,78.0,8.1,-99.99,x,-99.99,-99,Extended_Src_[SDSS],Extended_Src_[SDSS],0.004386
MS1228.6+1219,1046,SDSSJ123046.38+120556.5,136,"('187.80458333333334', '12.051944444444445')","('187.69329', '12.09908')",0.03305274472630886,1.3918751316611367e-67,31.794042964791394,3.71806401235912,45.93277220664301,x,1576.0,1276.0,230.0,22.19,x,2.4,1.6,47.0,38.0,75.4,-99.99,x,-99.99,-99,x,x,0.004255
MS1228.6+1219,1046,NGC4429,136,"('187.80458333333334', '12.051944444444445')","('186.86045', '11.10771')",0.028956691794375735,0.0268407061663429,196.0112132603446,193.89526812173628,364.4888436919738,x,1404.0,1104.0,58.0,15.8,x,33.5,11.4,70.0,97.0,52.6,337.4,.LAR+..,-99.99,99.0,SA(r)0+;LINER_HII,SA(r)0+;LINER_HII,0.003683
MS1228.6+1219,1046,IC3461,136,"('187.80458333333334', '12.051944444444445')","('188.0114', '11.89007')",0.0268090676822776,1.3620198277959664e-40,49.80843587295778,9.865900871182518,94.51523248720551,x,1319.0,1019.0,-27.0,20.9,x,4.6,3.8,34.0,160.0,31.3,41.51,.E?....,-99.99,-99,"dE,N","dE,N",0.003399
MS1228.6+1219,1046,SDSSJ123120.61+120423.5,136,"('187.80458333333334', '12.051944444444445')","('187.83589', '12.07321')",0.02364240561595919,0.0,7.572053359925451,0.1643167672515498,9.660493014148916,x,1055.0,755.0,-291.0,14.85,x,0.3,0.3,31.0,138.0,82.8,-99.99,x,-99.99,-99,Extended_Src_[SDSS],Extended_Src_[SDSS],0.002518
MS1228.6+1219,1046,NGC4478,136,"('187.80458333333334', '12.051944444444445')","('187.57257', '12.32855')",0.022275178982899536,1.0357918526836166e-06,83.34364623140944,30.210478314651024,102.38241221687515,x,1649.0,1349.0,303.0,16.4,x,9.7,7.9,35.0,140.0,0.6,114.33,.E.2...,-99.99,140.0,E2,E2,0.0045
MS1228.6+1219,1046,SDSSJ123104.47+115636.4,136,"('187.80458333333334', '12.051944444444445')","('187.76866', '11.94347')",0.007690975523634916,0.0,16.159478144105144,0.8538149682454624,34.0700960497303,x,1216.0,916.0,-130.0,17.12,x,0.9,0.7,37.0,60.0,42.1,-99.99,x,-99.99,-99,x,x,0.003056
MS1228.6+1219,1046,PGC041570,136,"('187.80458333333334', '12.051944444444445')","('188.09789', '11.89327')",0.0071436384727843584,4.694541233115961e-50,46.7780388647478,8.607438643406063,91.2748270022982,x,1133.0,833.0,-213.0,15.95,x,4.2,3.3,38.0,77.0,42.0,37.86,.I?....,-99.99,-99,Im,Im,0.002777
