targetName,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
RX_J1236.0+2641,7117,IC3585,13,"('189.01666666666665', '26.693333333333335')","('189.16625', '26.82994')",0.02780399610440465,0.056452511314482326,226.08881576847756,264.4513717113224,366.7903824447456,x,7603.0,7312.0,195.0,110.0,x,41.2,39.6,16.0,90.0,45.6,68.89,.LAS0*.,0.83,-99,SA(s)0^0^:,SA(s)0^0^:,0.02439
RX_J1236.0+2641,7117,IC3565,13,"('189.01666666666665', '26.693333333333335')","('189.05109', '26.75612')",0.010814487299261063,7.179149599621752e-13,77.31580540158514,25.661313294529567,131.69230042108921,x,7663.0,7372.0,255.0,107.93,x,8.7,6.3,44.0,25.0,1.1,-99.99,x,0.83,-99,x,x,0.024591
RX_J1236.0+2641,7117,SDSSJ123547.56+264519.6,13,"('189.01666666666665', '26.693333333333335')","('188.94819', '26.75548')",0.003445413618640086,2.356602493736589e-32,66.54533988759152,18.520259177452136,158.01276527943838,x,7372.0,7081.0,-36.0,103.83,x,7.0,5.5,39.0,110.0,25.4,-99.99,x,0.83,-99,x,x,0.023621
RX_J1236.0+2641,7117,NGC4556,13,"('189.01666666666665', '26.693333333333335')","('188.94107', '26.90889')",0.0025166611636470377,0.00960146166343529,274.92311446659033,404.5581824657611,433.6403158488618,x,7782.0,7491.0,374.0,110.0,x,54.7,38.3,46.0,70.0,87.4,72.14,.E+..*.,0.83,80.0,E+:,E+:,0.024987
RX_J1236.0+2641,7117,SDSSJ123554.79+264907.1,13,"('189.01666666666665', '26.693333333333335')","('188.9783', '26.81866')",0.0023920829786400325,2.3994252381990042e-14,97.63112263186666,42.61276803963807,238.3472608636205,x,7463.0,7172.0,55.0,105.11,x,12.2,7.9,49.0,145.0,19.7,-99.99,x,0.83,-99,x,x,0.023922
RX_J1236.0+2641,7117,SDSSJ123535.89+263400.0,13,"('189.01666666666665', '26.693333333333335')","('188.89959', '26.56669')",0.001296355310948755,6.69244390254372e-05,156.61472870932874,119.0482591220888,315.418274942296,x,7086.0,6795.0,-322.0,110.0,x,24.2,21.3,28.0,65.0,25.4,-99.99,x,0.83,-99,x,x,0.022666
RX_J1236.0+2641,7117,SDSSJ123543.98+263436.4,13,"('189.01666666666665', '26.693333333333335')","('188.9333', '26.5768')",0.00031456022258060187,1.5192004489297147e-11,106.29591375318148,51.264724713978524,240.18960674230786,x,7064.0,6773.0,-344.0,99.49,x,13.8,11.8,31.0,90.0,57.4,-99.99,x,0.83,-99,x,x,0.022593
RX_J1236.0+2641,7117,NGC4563,13,"('189.01666666666665', '26.693333333333335')","('189.05365', '26.94145')",2.8267952019909347e-05,1.0677100389122671e-07,160.16905232359844,125.0,472.2015334848548,x,7675.0,7384.0,267.0,108.09,x,25.0,16.5,49.0,115.0,72.6,-99.99,x,0.83,-99,x,x,0.02463
RX_J1236.0+2641,7117,SDSSJ123539.50+263255.5,13,"('189.01666666666665', '26.693333333333335')","('188.9146', '26.54877')",1.870861825011145e-05,1.1757728734564562e-27,94.29225294809766,39.50817636894925,311.10587188975313,x,7403.0,7112.0,-5.0,104.27,x,11.6,8.8,41.0,163.0,49.2,-99.99,x,0.83,-99,x,x,0.023724
RX_J1236.0+2641,7117,SDSSJ123541.33+262856.7,13,"('189.01666666666665', '26.693333333333335')","('188.92225', '26.48243')",5.732852787773051e-06,1.4297491857679451e-09,148.4810850792956,106.01614971314511,436.14716462478196,x,7037.0,6746.0,-371.0,110.0,x,22.4,16.6,42.0,109.0,87.2,-99.99,x,0.83,-99,x,x,0.022501
RX_J1236.0+2641,7117,IC3531,13,"('189.01666666666665', '26.693333333333335')","('188.7356', '26.62657')",1.248989135864595e-07,6.558448959317566e-21,121.24793899749073,68.2456079172865,456.5699150405988,x,7146.0,6855.0,-262.0,100.65,x,16.7,14.3,31.0,80.0,4.9,-99.99,x,0.83,-99,x,x,0.022867
RX_J1236.0+2641,7117,SDSSJ123521.33+263835.0,13,"('189.01666666666665', '26.693333333333335')","('188.8389', '26.64307')",6.758948145501802e-08,1.823582019016812e-71,74.22181292925816,23.481226543773214,299.46835357177656,x,7312.0,7021.0,-96.0,102.98,x,8.2,7.0,32.0,151.0,78.6,-99.99,x,0.83,-99,Extended_Src_[SDSS],Extended_Src_[SDSS],0.023421
RX_J1236.0+2641,7117,SDSSJ123622.58+265612.5,13,"('189.01666666666665', '26.693333333333335')","('189.09412', '26.93681')",-99.99,-99.99,-99.99,-99.99,461.6625801235967,x,7421.0,7130.0,13.0,104.51,x,-99.99,-99.99,-99,-99,65.1,-99.99,x,0.83,-99,x,x,0.023784
