targetName,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
SBS1503+570,706,NGC5866,16,"('226.23166666666665', '56.82222222222222')","('226.62291', '55.76321')",0.10815381523656271,0.007854599924985725,141.07943155776937,94.86259536824828,207.54390045347233,x,937.0,755.0,49.0,11.0,x,20.8,8.7,65.0,123.0,45.6,280.64,.LA.+./,-99.99,128.0,S0_3_HII/LINER,S0_3_HII/LINER,0.002518
SBS1503+570,706,NGC5907,16,"('226.23166666666665', '56.82222222222222')","('228.97404', '56.32877')",0.07779033043842506,0.25766593044021935,260.533669654627,359.9364054940817,413.23244793203645,x,843.0,667.0,-39.0,14.9,x,50.6,8.1,81.0,155.0,46.8,755.36,.SAS5*/,-99.99,155.0,SA(s)c:_sp_HII:,SA(s)c:_sp_HII:,0.002225
SBS1503+570,706,NGC5879,16,"('226.23166666666665', '56.82222222222222')","('227.44469', '57.00019')",0.03493423536955166,8.042362067460216e-11,85.70018272660332,32.098302135782816,154.38853962642304,x,949.0,772.0,66.0,12.9,x,10.1,4.4,64.0,5.0,70.0,250.12,.SAT4*$,-99.99,0.0,SA(rs)bc:?_LINER,SA(rs)bc:?_LINER,0.002575
SBS1503+570,706,SDSSJ151602.21+561733.0,16,"('226.23166666666665', '56.82222222222222')","('229.00921', '56.29251')",1.6411523493858654e-11,1.2285337867543202e-215,54.205369237839186,11.857824421031035,263.45726295729656,x,662.0,486.0,-220.0,9.32,x,5.2,1.3,76.0,155.0,45.8,-99.99,x,-99.99,-99,x,x,0.001622
SBS1503+570,706,NGC5866B,16,"('226.23166666666665', '56.82222222222222')","('228.03012', '55.78508')",3.969150481120598e-12,2.6253669551929775e-122,71.70431245139727,21.784214468279547,364.19045963565617,x,1020.0,841.0,135.0,14.5,x,7.8,6.0,40.0,20.0,63.5,161.49,.SXT8*.,-99.99,20.0,SAB(rs)dm:,SAB(rs)dm:,0.002805
SBS1503+570,706,NGC5826,16,"('226.23166666666665', '56.82222222222222')","('226.641', '55.47911')",2.210641213487861e-16,9.064853241742576e-297,56.34433476966049,12.89864333951443,336.68205351748804,x,1006.0,823.0,117.0,14.16,x,5.5,4.1,41.0,25.0,34.5,72.14,.L...?.,-99.99,25.0,S0?,S0?,0.002746
SBS1503+570,706,NGC5866A,16,"('226.23166666666665', '56.82222222222222')","('226.31672', '55.82782')",6.2724216072722e-17,0.0,30.873950736811498,3.488122704263713,187.65104733980505,x,767.0,585.0,-121.0,10.8,x,2.3,2.2,14.0,106.0,71.3,-99.99,x,-99.99,-99,x,x,0.00195
SBS1503+570,706,SBS1510+571B,16,"('226.23166666666665', '56.82222222222222')","('228.05221', '57.00172')",1.626942821393349e-18,0.0,31.794042964791394,3.71806401235912,203.23483430822205,x,819.0,643.0,-63.0,11.53,x,2.4,1.5,52.0,145.0,65.2,-99.99,x,-99.99,-99,Spiral,Spiral,0.002146
SBS1503+570,706,MCG+10-22-010,16,"('226.23166666666665', '56.82222222222222')","('229.35492', '56.66353')",4.2602706829128136e-44,0.0,40.43155575527607,6.269290230959163,403.75678414107836,x,955.0,781.0,75.0,13.45,x,3.4,2.4,46.0,80.0,15.3,-99.99,x,-99.99,-99,Spiral,Spiral,0.002605
SBS1503+570,706,UGC09776,16,"('226.23166666666665', '56.82222222222222')","('228.28155', '56.96864')",0.0,0.0,7.572053359925451,0.1643167672515498,342.8848107395272,x,1009.0,833.0,127.0,17.4,x,0.3,0.3,20.0,146.0,63.4,48.77,.I..9..,-99.99,-99,Im,Im,0.002779
SBS1503+570,706,SBS1511+583,16,"('226.23166666666665', '56.82222222222222')","('228.1827', '58.17656')",0.0,0.0,5.724145929738728,0.0894427190999916,270.79297325297944,x,644.0,471.0,-235.0,9.06,x,0.2,0.0,78.0,76.0,37.8,-99.99,x,-99.99,-99,x,x,0.001572
SBS1503+570,706,PGC054419,16,"('226.23166666666665', '56.82222222222222')","('228.70055', '56.45443')",0.0,0.0,7.572053359925451,0.1643167672515498,306.85935909214476,x,888.0,712.0,6.0,12.5,x,0.3,0.1,78.0,110.0,4.8,-99.99,x,-99.99,-99,Spiral,Spiral,0.002375
SBS1503+570,706,MCG+10-21-039,16,"('226.23166666666665', '56.82222222222222')","('224.12924', '59.59466')",0.0,0.0,12.215868886348156,0.46475800154489,468.38289680217946,x,639.0,463.0,-243.0,8.99,x,0.6,0.4,48.0,153.0,4.5,-99.99,x,-99.99,-99,x,x,0.001544
SBS1503+570,706,UMaDwarf,16,"('226.23166666666665', '56.82222222222222')","('158.72', '51.92')",-99.99,-99.99,-99.99,-99.99,66.33651111749016,x,1313.0,1101.0,395.0,0.1,x,-99.99,-99.99,-99,-99,1.1,-99.99,x,-99.99,-99,dSph,dSph,0.003673
