targetName,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
RX_J1236.0+2641,1188,NGC4565,21,"('189.01666666666665', '26.693333333333335')","('189.08658', '25.98767')",1.1835821179520256,1.2735006632011334,212.26559774190645,230.55883414000863,147.13874702887955,x,1522.0,1230.0,42.0,11.9,x,37.6,12.0,71.0,134.0,40.9,950.94,.SAS3$/,-99.99,136.0,SA(s)b?_sp_Sy3_Sy1.9,SA(s)b?_sp_Sy3_Sy1.9,0.004103
RX_J1236.0+2641,1188,NGC4559,21,"('189.01666666666665', '26.693333333333335')","('188.99019', '27.95999')",0.008082172077825793,0.0025328610948116095,148.0233932027291,105.30701306180895,161.4113230534861,x,1097.0,807.0,-381.0,7.3,x,22.3,10.5,62.0,148.0,30.9,642.91,.SXT6..,-99.99,150.0,SAB(rs)cd_HII,SAB(rs)cd_HII,0.002692
RX_J1236.0+2641,1188,NGC4494,21,"('189.01666666666665', '26.693333333333335')","('187.85043', '25.77525')",0.007769667237617815,0.00029624774641842964,155.27250219409794,116.84142672870782,320.6528657831658,x,1634.0,1342.0,154.0,13.2,x,23.9,20.8,30.0,173.0,55.6,287.18,.E.1+..,-99.99,-99,E1-2_LINER,E1-2_LINER,0.004476
RX_J1236.0+2641,1188,NGC4562,21,"('189.01666666666665', '26.693333333333335')","('188.895', '25.85')",0.0031067462546914473,1.68671840678878e-24,72.33736635290393,22.20448152963721,163.25750837556376,x,1645.0,1353.0,165.0,11.0,x,7.9,2.6,71.0,48.0,40.7,150.71,.SBS8*/,-99.99,48.0,SB(s)dm:_sp,SB(s)dm:_sp,0.004513
RX_J1236.0+2641,1188,SDSSJ123521.28+273348.6,21,"('189.01666666666665', '26.693333333333335')","('188.8387', '27.56353')",8.905669446009698e-40,0.0,32.702323169085005,3.952847075210474,309.981310057388,x,1426.0,1136.0,-52.0,20.08,x,2.5,2.0,34.0,88.0,81.6,-99.99,x,-99.99,-99,Extended_Src_[SDSS],Extended_Src_[SDSS],0.00379
RX_J1236.0+2641,1188,SDSSJ123521.05+273343.5,21,"('189.01666666666665', '26.693333333333335')","('188.83774', '27.56212')",3.358774249005201e-41,0.0,33.599406811092535,4.192374029115246,324.3483068806154,x,1494.0,1204.0,16.0,21.04,x,2.6,2.1,36.0,169.0,0.6,-99.99,x,-99.99,-99,Extended_Src_[SDSS],Extended_Src_[SDSS],0.004017
RX_J1236.0+2641,1188,SDSSJ123819.99+273935.5,21,"('189.01666666666665', '26.693333333333335')","('189.58334', '27.65989')",1.153433342008101e-46,0.0,38.77514986628247,5.7243340223994625,398.7871873999335,x,1489.0,1199.0,11.0,20.96,x,3.2,2.4,41.0,163.0,44.6,-99.99,x,-99.99,-99,"dE2,_N","dE2,_N",0.004
RX_J1236.0+2641,1188,NGC4559:[KWB2013]-074-094,21,"('189.01666666666665', '26.693333333333335')","('188.96609', '27.93251')",6.843622988462181e-61,0.0,29.941368737561735,3.263127334322092,348.8678917503148,x,1145.0,855.0,-333.0,16.12,x,2.2,1.2,55.0,107.0,70.9,-99.99,x,-99.99,-99,Extended_Src_[SDSS],Extended_Src_[SDSS],0.002853
RX_J1236.0+2641,1188,UGCA294,21,"('189.01666666666665', '26.693333333333335')","('191.15896', '28.47249')",1.0051889958748096e-84,0.0,31.794042964791394,3.71806401235912,440.5052286605157,x,1235.0,947.0,-241.0,9.7,x,2.4,1.3,57.0,112.0,64.9,43.47,.S...*.,-99.99,105.0,S0_pec,S0_pec,0.003159
RX_J1236.0+2641,1188,MRK1335,21,"('189.01666666666665', '26.693333333333335')","('191.73088', '26.56429')",5.670350712248604e-145,0.0,20.826721668546934,1.4822280526288794,377.4152294814317,x,1092.0,801.0,-387.0,8.9,x,1.3,1.0,41.0,45.0,48.0,29.39,.E+..*.,-99.99,-99,E+:_HII,E+:_HII,0.002672
