targetName,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
SDSSJ135726.27+043541.4,1124,NGC5364,21,"('209.35958333333332', '4.594722222222222')","('209.05', '5.01447')",0.6998890735161767,0.6866872370804677,195.60730162998587,193.02772857804652,164.560925173681,x,1516.0,1241.0,117.0,18.1,x,33.4,19.0,55.0,48.0,84.3,405.65,.SAT4P.,-99.99,30.0,SA(rs)bc_pec_HII,SA(rs)bc_pec_HII,0.00414
SDSSJ135726.27+043541.4,1124,NGC5363,21,"('209.35958333333332', '4.594722222222222')","('209.03004', '5.25477')",0.1271845190017321,0.018123956338791866,148.93814397866743,106.7268710306828,213.58432676799907,x,1415.0,1139.0,15.0,16.6,x,22.5,16.7,42.0,130.0,23.5,244.43,.I.0.$.,-99.99,135.0,I0?_LINER,I0?_LINER,0.003799
SDSSJ135726.27+043541.4,1124,UGC08857,21,"('209.35958333333332', '4.594722222222222')","('209.1109', '4.39667')",0.11138587918263962,9.943340989153571e-11,72.33736635290393,22.20448152963721,106.4989248019597,x,1366.0,1091.0,-33.0,19.23,x,7.9,2.7,70.0,130.0,78.6,54.72,.S..1..,-99.99,128.0,Sb(f),Sb(f),0.003638
SDSSJ135726.27+043541.4,1124,NGC5360,21,"('209.35958333333332', '4.594722222222222')","('208.91146', '4.98506')",0.023358285329141935,2.0397990293496003e-06,115.67938547921628,61.615063093370274,222.56120106955373,x,1447.0,1171.0,47.0,21.5,x,15.6,3.7,76.0,70.0,61.1,131.27,.I.0...,-99.99,70.0,I0,I0,0.003906
SDSSJ135726.27+043541.4,1124,SDSSJ135714.03+041826.3,21,"('209.35958333333332', '4.594722222222222')","('209.3085', '4.30731')",0.023329755585420282,1.2237272529018363e-31,55.63546142004417,12.548466041712032,105.76044647919197,x,1474.0,1200.0,76.0,20.76,x,5.4,1.4,75.0,60.0,50.0,-99.99,x,-99.99,-99,Sc(f),Sc(f),0.004002
SDSSJ135726.27+043541.4,1124,NGC5348,21,"('209.35958333333332', '4.594722222222222')","('208.54694', '5.22744')",0.00014690700004939993,2.1016433876314658e-10,120.74650827202811,67.63354197437837,299.5021136254337,x,1728.0,1451.0,327.0,16.7,x,16.6,6.0,69.0,5.0,57.0,212.89,.SB.4*/,-99.99,177.0,SBbc:_sp,SBbc:_sp,0.00484
SDSSJ135726.27+043541.4,1124,NGC5356,21,"('209.35958333333332', '4.594722222222222')","('208.74358', '5.33372')",6.19545479918856e-05,1.0791197438815499e-08,145.2637383013641,101.08567158603636,414.1063719590716,x,1650.0,1374.0,250.0,24.7,x,21.7,7.0,71.0,15.0,54.7,185.42,.SX.4*/,-99.99,15.0,SABbc:_sp_HII,SABbc:_sp_HII,0.004583
SDSSJ135726.27+043541.4,1124,SDSSJ135537.58+045900.0,21,"('209.35958333333332', '4.594722222222222')","('208.90658', '4.98336')",2.6356881196879445e-05,3.017631962800779e-59,66.54533988759152,18.520259177452136,214.89283303969128,x,1468.0,1192.0,68.0,20.67,x,7.0,4.5,50.0,66.0,64.7,-99.99,x,-99.99,-99,x,x,0.003977
SDSSJ135726.27+043541.4,1124,NGC5338,21,"('209.35958333333332', '4.594722222222222')","('208.36063', '5.20776')",4.818572469706842e-07,1.4865399382383035e-53,74.84518802278988,23.912068082873972,261.1444812497863,x,1093.0,816.0,-308.0,12.8,x,8.3,5.3,50.0,110.0,11.6,150.71,.LB..*.,-99.99,97.0,SB0:_HII,SB0:_HII,0.002722
SDSSJ135726.27+043541.4,1124,PGC049602,21,"('209.35958333333332', '4.594722222222222')","('209.23158', '5.15188')",1.3301653009294646e-08,1.539356801870453e-82,66.54533988759152,18.520259177452136,251.588714859007,x,1791.0,1516.0,392.0,25.22,x,7.0,4.0,55.0,122.0,45.1,-99.99,x,-99.99,-99,x,x,0.005058
SDSSJ135726.27+043541.4,1124,SDSSJ135609.35+053233.2,21,"('209.35958333333332', '4.594722222222222')","('209.039', '5.54258')",8.581766668895298e-10,1.0859089150286934e-163,57.750220983723516,13.608563480397187,263.59788438508133,x,1359.0,1083.0,-41.0,15.1,x,5.7,5.5,14.0,174.0,12.6,-99.99,x,-99.99,-99,x,x,0.003611
SDSSJ135726.27+043541.4,1124,UGC08799,21,"('209.35958333333332', '4.594722222222222')","('208.33258', '5.77164')",1.1430370538093899e-16,0.0,49.05876764093103,9.545941546018392,296.63093968859346,x,1324.0,1047.0,-77.0,10.9,x,4.5,3.1,46.0,-99,58.0,70.49,.I..9?.,-99.99,-99,Im?,Im?,0.003491
SDSSJ135726.27+043541.4,1124,SDSSJ135723.56+053425.2,21,"('209.35958333333332', '4.594722222222222')","('209.34821', '5.57367')",1.8586941269608992e-20,0.0,47.54372818749395,8.916669781930919,320.0395837686408,x,1330.0,1055.0,-69.0,18.73,x,4.3,3.5,36.0,122.0,57.3,-99.99,x,-99.99,-99,x,x,0.003519
SDSSJ135726.27+043541.4,1124,SDSSJ135502.70+050525.2,21,"('209.35958333333332', '4.594722222222222')","('208.76127', '5.09034')",1.1957897586368888e-24,0.0,43.6566776107277,7.407563702054812,318.5251614142338,x,1672.0,1396.0,272.0,23.54,x,3.8,3.5,23.0,101.0,28.7,-99.99,x,-99.99,-99,x,x,0.004657
SDSSJ135726.27+043541.4,1124,SDSSJ135621.31+051944.2,21,"('209.35958333333332', '4.594722222222222')","('209.08882', '5.32896')",7.724127507830881e-27,0.0,42.058010542046325,6.8305197459636995,321.1024402650395,x,1671.0,1395.0,271.0,23.52,x,3.6,3.1,28.0,108.0,51.8,-99.99,x,-99.99,-99,x,x,0.004652
SDSSJ135726.27+043541.4,1124,SDSSJ135504.50+051122.2,21,"('209.35958333333332', '4.594722222222222')","('208.76879', '5.18953')",2.1727503468143174e-27,0.0,28.035654353601306,2.8284271247461903,216.1615833479141,x,1679.0,1403.0,279.0,14.8,x,2.0,1.7,31.0,149.0,13.7,-99.99,x,-99.99,-99,x,x,0.004679
SDSSJ135726.27+043541.4,1124,SDSSJ135946.93+044614.9,21,"('209.35958333333332', '4.594722222222222')","('209.94554', '4.77082')",6.591394409459295e-117,0.0,10.771825341804764,0.3535533905932738,175.76604501050082,x,1172.0,899.0,-225.0,16.51,x,0.5,0.5,0.0,159.0,85.8,-99.99,x,-99.99,-99,Candidate_QSO,Candidate_QSO,0.003
SDSSJ135726.27+043541.4,1124,SDSSJ135922.09+050353.5,21,"('209.35958333333332', '4.594722222222222')","('209.84206', '5.06487')",1.5142847640265584e-222,0.0,10.771825341804764,0.3535533905932738,243.40948653029292,x,1473.0,1199.0,75.0,20.74,x,0.5,0.3,41.0,91.0,45.4,-99.99,x,-99.99,-99,Candidate_QSO,Candidate_QSO,0.004
SDSSJ135726.27+043541.4,1124,SDSSJ135615.94+050954.0,21,"('209.35958333333332', '4.594722222222222')","('209.06643', '5.16501')",0.0,0.0,9.234670285617243,0.2529822128134704,279.46251559036887,x,1775.0,1499.0,375.0,24.99,x,0.4,0.0,87.0,54.0,81.1,-99.99,x,-99.99,-99,x,x,0.005
SDSSJ135726.27+043541.4,1124,VVDS140092139,21,"('209.35958333333332', '4.594722222222222')","('209.58939', '4.31697')",-99.99,-99.99,-99.99,-99.99,101.11144699286197,x,1143.0,869.0,-255.0,16.09,x,-99.99,-99.99,-99,-99,59.5,-99.99,x,-99.99,-99,x,x,0.0029
SDSSJ135726.27+043541.4,1124,UMaDwarf,21,"('209.35958333333332', '4.594722222222222')","('158.72', '51.92')",-99.99,-99.99,-99.99,-99.99,110.07281622202579,x,1313.0,1101.0,-23.0,0.1,x,-99.99,-99.99,-99,-99,52.2,-99.99,x,-99.99,-99,dSph,dSph,0.003673
