targetName,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
HE1228+0131,1556,NGC4517A,25,"('187.70833333333334', '1.256388888888889')","('188.11732', '0.38967')",0.008272946980176903,0.0035530352795963165,184.55485695962207,170.10127277595544,403.1051346083094,x,1818.0,1525.0,-31.0,24.1,x,30.7,16.9,57.0,30.0,55.3,238.86,.SBT8*.,0.36,30.0,SB(rs)dm:_HII,SB(rs)dm:_HII,0.005087
HE1228+0131,1556,NGC4527,25,"('187.70833333333334', '1.256388888888889')","('188.53509', '2.65366')",0.0063839281514790494,0.0035118249943635765,187.03616663496922,175.11224114835605,385.3113758018855,x,2031.0,1736.0,180.0,13.6,x,31.3,10.7,70.0,70.0,39.4,369.96,.SXS4..,0.36,67.0,SAB(s)bc;HII_LINER,SAB(s)bc;HII_LINER,0.005791
HE1228+0131,1556,NGC4536,25,"('187.70833333333334', '1.256388888888889')","('188.61271', '2.18814')",0.006056500437539924,0.002523008609869722,179.96633842111865,161.04141082342767,337.59992494886507,x,2103.0,1808.0,252.0,14.9,x,29.6,15.4,59.0,95.0,50.9,455.15,.SXT4..,0.36,130.0,SAB(rs)bc;HII_Sbrst,SAB(rs)bc;HII_Sbrst,0.006031
HE1228+0131,1556,UGC07612,25,"('187.70833333333334', '1.256388888888889')","('187.25892', '2.72319')",1.0453841346485354e-10,1.2595288668633465e-80,81.55643225270019,28.81985426750108,390.8965129777376,x,1870.0,1575.0,19.0,14.6,x,9.4,4.7,60.0,145.0,18.0,128.28,.S..9*.,0.36,145.0,Sm:_HII,Sm:_HII,0.005254
HE1228+0131,1556,PGC041700,25,"('187.70833333333334', '1.256388888888889')","('188.33653', '1.52174')",3.8356935317139456e-11,3.17390368306444e-134,66.54533988759152,18.520259177452136,324.60800946450695,x,1937.0,1643.0,87.0,27.28,x,7.0,2.4,70.0,179.0,68.1,-99.99,.S..7?/,0.36,-99,Sd?_sp,Sd?_sp,0.00548
HE1228+0131,1556,GEMSNGC4636:[KFB2009]16,25,"('187.70833333333334', '1.256388888888889')","('188.15215', '2.66152')",8.138142822890149e-12,2.3914793726765695e-58,97.07824255240514,42.08991565684113,483.47921996697556,x,2022.0,1727.0,171.0,18.8,x,12.1,1.2,84.0,36.0,18.5,137.45,.S..7./,0.36,36.0,Sd(f)_HII,Sd(f)_HII,0.005761
HE1228+0131,1556,NGC4409,25,"('187.70833333333334', '1.256388888888889')","('186.74375', '2.49436')",1.8962924990469858e-13,2.4930741748708255e-82,89.18150695194646,35.00061428032371,479.2432012331958,x,1980.0,1685.0,129.0,17.5,x,10.7,4.7,64.0,10.0,47.9,122.5,.SBR4*.,0.36,8.0,SB(r)bc:;HII_LINER,SB(r)bc:;HII_LINER,0.005621
HE1228+0131,1556,UGC07512,25,"('187.70833333333334', '1.256388888888889')","('186.42223', '2.15898')",2.552243924021e-19,0.0,44.44619413241409,7.701882886671284,290.59491002174724,x,1800.0,1505.0,-51.0,10.6,x,3.9,1.4,69.0,130.0,4.9,75.54,.IBS9..,0.36,130.0,ImIV,ImIV,0.00502
HE1228+0131,1556,3C273:[PWC2011]5268,25,"('187.70833333333334', '1.256388888888889')","('187.46075', '2.03158')",8.878715429996835e-36,0.0,46.7780388647478,8.607438643406063,416.6980283640284,x,2084.0,1789.0,233.0,29.34,x,4.2,2.1,60.0,152.0,10.3,-99.99,x,0.36,-99,x,x,0.005966
HE1228+0131,1556,PGC041840,25,"('187.70833333333334', '1.256388888888889')","('188.64575', '2.56883')",1.2754196928856123e-48,0.0,46.00667649591621,8.3018672598398,478.445567159329,x,2143.0,1848.0,292.0,17.0,x,4.1,2.4,55.0,151.0,64.5,30.77,       ,0.36,-99,BCD,BCD,0.006164
