targetName,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
RX_J1236.0+2641,7223,IC3585,11,"('189.01666666666665', '26.693333333333335')","('189.16625', '26.82994')",0.0590142980944015,0.11982109759980378,226.08881576847756,264.4513717113224,366.7903824447456,x,7603.0,7312.0,89.0,110.0,x,41.2,39.6,16.0,90.0,45.6,68.89,.LAS0*.,-99.99,-99,SA(s)0^0^:,SA(s)0^0^:,0.02439
RX_J1236.0+2641,7223,IC3565,11,"('189.01666666666665', '26.693333333333335')","('189.05109', '26.75612')",0.03154725725200773,2.0942507305491116e-12,77.31580540158514,25.661313294529567,131.69230042108921,x,7663.0,7372.0,149.0,107.93,x,8.7,6.3,44.0,25.0,1.1,-99.99,x,-99.99,-99,x,x,0.024591
RX_J1236.0+2641,7223,2MFGC09922,11,"('189.01666666666665', '26.693333333333335')","('189.00921', '26.78539')",0.024806864390868936,0.0126286693884322,163.2502500286489,130.286580275944,177.66622094653388,x,7831.0,7540.0,317.0,110.29,x,25.7,7.7,73.0,25.0,29.2,-99.99,x,-99.99,-99,x,x,0.025151
RX_J1236.0+2641,7223,NGC4556,11,"('189.01666666666665', '26.693333333333335')","('188.94107', '26.90889')",0.013793991350489048,0.052626265724841796,274.92311446659033,404.5581824657611,433.6403158488618,x,7782.0,7491.0,268.0,110.0,x,54.7,38.3,46.0,70.0,87.4,72.14,.E+..*.,-99.99,80.0,E+:,E+:,0.024987
RX_J1236.0+2641,7223,SDSSJ123554.79+264907.1,11,"('189.01666666666665', '26.693333333333335')","('188.9783', '26.81866')",0.0024175739215311918,2.424994422990959e-14,97.63112263186666,42.61276803963807,238.3472608636205,x,7463.0,7172.0,-51.0,105.11,x,12.2,7.9,49.0,145.0,19.7,-99.99,x,-99.99,-99,x,x,0.023922
RX_J1236.0+2641,7223,SDSSJ123547.56+264519.6,11,"('189.01666666666665', '26.693333333333335')","('188.94819', '26.75548')",0.002149733671454512,1.470380131898012e-32,66.54533988759152,18.520259177452136,158.01276527943838,x,7372.0,7081.0,-142.0,103.83,x,7.0,5.5,39.0,110.0,25.4,-99.99,x,-99.99,-99,x,x,0.023621
RX_J1236.0+2641,7223,NGC4563,11,"('189.01666666666665', '26.693333333333335')","('189.05365', '26.94145')",8.787617536828247e-05,3.3191748222809877e-07,160.16905232359844,125.0,472.2015334848548,x,7675.0,7384.0,161.0,108.09,x,25.0,16.5,49.0,115.0,72.6,-99.99,x,-99.99,-99,x,x,0.02463
RX_J1236.0+2641,7223,SDSSJ123539.50+263255.5,11,"('189.01666666666665', '26.693333333333335')","('188.9146', '26.54877')",1.3757502156229466e-05,8.646121068677506e-28,94.29225294809766,39.50817636894925,311.10587188975313,x,7403.0,7112.0,-111.0,104.27,x,11.6,8.8,41.0,163.0,49.2,-99.99,x,-99.99,-99,x,x,0.023724
RX_J1236.0+2641,7223,SDSSJ123521.33+263835.0,11,"('189.01666666666665', '26.693333333333335')","('188.8389', '26.64307')",3.0684338295024594e-08,8.278715323104693e-72,74.22181292925816,23.481226543773214,299.46835357177656,x,7312.0,7021.0,-202.0,102.98,x,8.2,7.0,32.0,151.0,78.6,-99.99,x,-99.99,-99,Extended_Src_[SDSS],Extended_Src_[SDSS],0.023421
RX_J1236.0+2641,7223,IC3531,11,"('189.01666666666665', '26.693333333333335')","('188.7356', '26.62657')",2.35236128505821e-08,1.2352262304707116e-21,121.24793899749073,68.2456079172865,456.5699150405988,x,7146.0,6855.0,-368.0,100.65,x,16.7,14.3,31.0,80.0,4.9,-99.99,x,-99.99,-99,x,x,0.022867
RX_J1236.0+2641,7223,SDSSJ123622.58+265612.5,11,"('189.01666666666665', '26.693333333333335')","('189.09412', '26.93681')",-99.99,-99.99,-99.99,-99.99,461.6625801235967,x,7421.0,7130.0,-93.0,104.51,x,-99.99,-99.99,-99,-99,65.1,-99.99,x,-99.99,-99,x,x,0.023784
