AGNname	galaxyName	environment	degreesJ2000RA_DecAGN	degreesJ2000RA_DecGalaxy	likelihood	likelihood_1.5	virialRadius	d^1.5	impactParameter (kpc)	vcorrGalaxy (km/s)	vel_diff	distGalaxy (Mpc)	majorAxis (kpc)	minorAxis (kpc)	inclination (deg)	positionAngle (deg)	azimuth (deg)	RC3flag	RC3type	RC3inc (deg)	RC3pa (deg)	morphology	final_morphology	galaxyRedshift	AGNredshift	spectrumStatus	include	include_vir	include_custom	Lya_v	vlimits	Lya_W	Na	b	identified	comment
SBS1537+577	SDSSJ153802.75+573018.3	2	"('234.54167', '57.60361')"	"(234.5115, 57.50508)"	0.007580499	1.25E-05	86.86757243	33.05642146	90.50600729	3687.3	-389.7	51.93368351	10.3	1.9	79.6	24	14.7	0	x	x	x	Sd(f)	Sd(f)	0.011759	0.0734	SP	1	1	0	4077	"4032, 4148"	72pm25	1.47E13pm5.48E12	45.0pm3.8	Lya	center is 4090 : VIRIAL AND CUSTOM INCLUDE MISMATCH
SDSSJ080838.80+051440.0	2MASXJ08083956+0517256	1	"('122.16167', '5.24444')"	"(122.16482, 5.29055)"	0.008344214	0.000304786	106.2959138	51.26472471	106.4638288	9371	-389	131.9857487	13.8	12.4	25.8	75	71.1	0	x	x	x	x	x	0.03082	0.361	RT	1	1	0	9760	"9728, 9788"	58pm15	1.25E13pm3.52E12	22.2pm1.7	done	center is 9758 : ONLY 1 GALAXY
SBS1537+577	NGC5987	5	"('234.54167', '57.60361')"	"(234.98904, 58.07953)"	0.003773259	0.029266731	322.0594318	570.666866	454.1827315	3170	-379	48.9	68.8	29.6	64.5	60	33.3	NGC5987	.S..3..	71.6	165	Sb	Sb	0.01004	0.0734	SP	0	0	1	3549	"3456, 3670"	447pm28	1.40E14pm1.38E13	53.2pm3.6	Lya	center is 3563 : VIRIAL VS CUSTOM RESULT MISMATCH
MRK1014	NGC0768	2	"('29.95917', '0.39472')"	"(29.67056, 0.52922)"	0.001719091	0.00870688	253.3839055	338.8085831	486.1589792	6752.3	-327.7	87.483	48.6	14.5	72.6	x	85	NGC768	.SBR4*.	61.4	30	SB(r)bc:	SB(r)bc:	0.023419	0.163	SP	1	1	1	7080	"6984, 7144"	117pm11	2.46E13pm2.54E12	49.0pm3.1	d:Lya	"center is 7064, IC1761 companion; p"
MRC2251-178	MCG-03-58-009	1	"('343.52458', '-17.58194')"	"(343.42021, -17.47889)"	0.040200656	0.158458796	319.1465428	559.5058883	320.0509932	8753.8	-297.2	128	67.9	35.3	58.7	175	39	ESO603-G25	.S?....	48.6	27	Sc	Sc	0.030121	0.0661	SP	1	1	1	9051	"8958, 9098"	60pm4	1.18E13pm8.73E11	46.4pm2.7	"Lya, d:Lya"	"Lya labeled at 9051, d:Lya at 9040, center is 9028 : ONLY 1 GALAXY"
HE1228+0131	NGC4517	15	"('187.70833', '1.25583')"	"(188.18996, 0.11503)"	0.038889792	0.036309955	193.1759035	187.8498124	211.0427507	1420.4	-286.6	9.765	32.8	4.1	82.7	x	74.1	NGC4517	.SAS6*/	81.5	83	SA(s)cd: sp    HII	SA(s)cd: sp    HII	0.003764	0.117	SP	0	1	1	1707	"1600, 1814"	598pm3	3.10E14pm3.61E12	56.2pm1.9	"d:Lya, Lya"	"d:Lya near to Lya:1854(1575), near NGC4517, 3C273.0, manually marked False - crowded field; p"
RX_J1330.8+3119	RCS05100405241	1	"('202.72167', '31.32556')"	"(202.1176, 30.6804)"	-99	-99	-99	-99	483.11576	2375.8	-278.2	33.46156499	x	x	x	x	x	0	x	x	x	x	x	0.007	0.241	DG	0	0	0	2654	"2560, 2764"	423pm17	1.56E14pm1.12E13	49.8pm2.9	f:Lya	"f:Lya labeled at 2654, center is 2662. This galaxy is tiny, far away, and has no info (phot redshifts also).  : ONLY 1 GALAXY"
MRC2251-178	MCG-03-58-014	1	"('343.52458', '-17.58194')"	"(344.36012, -17.88558)"	5.15E-20	1.34E-264	63.89771317	16.955707	417.3445625	1993.2	-264.8	28.07265578	6.6	3.7	55.9	105	5.9	0	x	x	x	Sa	Sa	0.007575	0.0661	SP	0	0	0	2258	"2202, 2330"	80pm5	1.62E13pm1.18E12	42.1pm2.0	"Lya, d:Lya"	"Lya labeled at 2258, d:Lya at 2283, center is 2266 : ONLY 1 GALAXY"
HE1228+0131	SDSSJ123136.64+012054.2	2	"('187.70833', '1.25583')"	"(187.90271, 1.3484)"	4.42E-08	2.70E-36	98.18259962	43.13776768	387.0525122	7314.8	-236.2	103.0258123	12.3	7.6	51.7	83	18.5	0	x	x	x	x	x	0.023418	0.117	SP	0	0	0	7551	"7498, 7622"	63pm3	1.28E13pm5.77E11	36.1pm2.6	d:Lya	"d:Lya labeled at 7551, I measure 7560 : VIRIAL AND CUSTOM INCLUDE MISMATCH"
RBS2070	2dFGRSS357Z063	5	"('359.7825', '-30.6275')"	"(359.90758, -30.65589)"	0.060645064	0.055992998	193.5820879	188.7095361	239.1202735	8740	-226	123.0992462	32.9	22.2	47.6	x	x	0	x	x	x	x	x	0.0301	0.165	NP	0	0	0	8966	"8832, 9110"	777pm10	4.11E14pm1.91E13	76.8pm1.8	Lya	"center is 8971, 2dFGRSS357Z063 appears to be another name for the same galaxy : VIRIAL AND CUSTOM INCLUDE MISMATCH"
